timestamp,ES,GE,RZ1,RZ2
2022-05-07,2.952,4.759,4.381,1.574
2022-05-08,0.0,0.0,0.0,0.0
2022-05-09,0.093,0.057999999999999996,0.05499999999999999,0.11
2022-05-10,1.137,1.005,0.64,0.566
2022-05-11,1.542,0.43700000000000006,0.39199999999999996,0.615
2022-05-12,0.047,0.018000000000000002,0.033999999999999996,0.041999999999999996
2022-05-13,0.006,0.005,0.005,0.008
2022-05-14,0.0,0.0,0.0,0.0
2022-05-15,0.008,0.0,0.001,0.003
2022-05-16,1.075,2.132,1.3419999999999999,0.641
2022-05-17,0.347,0.375,0.292,0.292
2022-05-18,0.15,0.10400000000000001,0.184,0.248
2022-05-19,8.134,14.173,11.198,12.479000000000001
2022-05-20,6.4990000000000006,4.383,4.75,4.933
2022-05-21,0.055,0.044,0.058,0.025
2022-05-22,0.27699999999999997,0.121,0.147,0.175
2022-05-23,7.365,9.174999999999999,14.28,11.368
2022-05-24,3.992,1.6340000000000001,1.707,3.533
2022-05-25,0.585,0.412,0.553,0.632
2022-05-26,0.341,0.371,0.506,0.408
2022-05-27,2.57,3.552,2.933,2.59
2022-05-28,0.007,0.0,0.0,0.0
2022-05-29,7.6000000000000005,7.111,5.4319999999999995,8.987
2022-05-30,0.472,0.49,0.30200000000000005,0.36400000000000005
2022-05-31,3.221,2.89,2.667,4.047
2022-06-01,2.241,4.051,2.7950000000000004,1.756
2022-06-02,0.0,0.0,0.0,0.0
2022-06-03,0.372,0.278,0.33899999999999997,0.375
2022-06-04,0.849,0.597,1.424,1.753
2022-06-05,45.299,36.612,44.114,43.189
2022-06-06,1.685,0.557,0.655,0.968
2022-06-07,1.547,1.5830000000000002,2.3,2.37
2022-06-08,15.458,12.398,14.202,17.221
2022-06-09,4.9719999999999995,3.4179999999999997,9.344,9.043
2022-06-10,1.43,1.365,1.031,0.442
2022-06-11,0.0,0.0,0.0,0.0
2022-06-12,0.002,0.004,0.0,0.001
2022-06-13,0.185,0.093,0.047,0.030000000000000002
2022-06-14,0.0,0.0,0.0,0.0
2022-06-15,0.11699999999999999,0.13,0.193,0.172
2022-06-16,0.087,0.084,0.111,0.15
2022-06-17,0.7080000000000001,0.496,0.614,0.869
2022-06-18,0.0,0.0,0.0,0.0
2022-06-19,1.4709999999999999,1.671,1.452,1.99
2022-06-20,0.453,0.239,0.256,0.28400000000000003
2022-06-21,0.498,0.356,0.488,0.574
2022-06-22,0.525,0.444,0.526,0.618
2022-06-23,5.221,4.482,2.3129999999999997,3.402
2022-06-24,15.671999999999999,10.074,12.343,14.436
2022-06-25,4.168,1.7109999999999999,4.954,7.382
2022-06-26,0.746,0.971,0.447,0.495
2022-06-27,10.654,6.657,13.290000000000001,12.620999999999999
2022-06-28,0.0,0.0,0.0,0.0
2022-06-29,0.0,0.0,0.0,0.0
2022-06-30,11.235000000000001,5.3469999999999995,9.925,17.621
2022-07-01,0.103,0.10300000000000001,0.112,0.159
2022-07-02,0.0,0.0,0.0,0.0
2022-07-03,0.0,0.0,0.0,0.0
2022-07-04,0.0,0.0,0.0,0.0
2022-07-05,0.016,0.03,0.022,0.027
2022-07-06,1.029,0.717,0.983,0.947
2022-07-07,0.0,0.0,0.0,0.0
2022-07-08,0.0,0.0,0.0,0.0
2022-07-09,0.003,0.008,0.0,0.007
2022-07-10,0.0,0.0,0.0,0.0
2022-07-11,0.046,0.060000000000000005,0.072,0.056
2022-07-12,0.321,0.317,0.28800000000000003,0.394
2022-07-13,1.082,0.599,0.752,0.768
2022-07-14,0.104,0.056,0.057,0.063
2022-07-15,0.023,0.028,0.025,0.032
2022-07-16,0.0,0.0,0.0,0.0
2022-07-17,0.0,0.0,0.0,0.0
2022-07-18,0.0,0.0,0.0,0.0
2022-07-19,0.065,0.095,0.101,0.081
2022-07-20,0.663,1.834,1.066,0.9480000000000001
2022-07-21,13.136,13.508000000000001,16.547,16.083
2022-07-22,0.609,0.34600000000000003,0.362,0.269
2022-07-23,0.0,0.0,0.0,0.0
2022-07-24,0.0,0.0,0.0,0.0
