;H2O_sew;NH4_sew;PO4_sew;COD_sol;X_TSS_sew;COD_part;H2O_sew2
182,15972222222223;-104371195220,94727;-4393564,36503752;-708961,5225401454;-20569869,52722113;-20089683,11648083;-36136477,39762376;104371200000,0
182,16319444444446;-104371195220,94727;-4394456,857858934;-709105,5384272372;-20574048,016339567;-20066863,651357368;-36067887,3148317;104371200000,0
182,16666666666666;-104371195220,94727;-4395289,561589338;-709239,9065291887;-20603193,69109684;-20039261,110868547;-35949659,90113127;104371200000,0
182,17013888888889;-104371195220,94727;-4396071,033633111;-709366,0076998883;-20630546,192578573;-20013356,803079903;-35838706,37079257;104371200000,0
182,17361111111111;-104371195220,94727;-4396808,273556654;-709484,9714148239;-20656350,51438613;-19988918,70571515;-35734032,92421745;104371200000,0
182,17708333333334;-104371195220,94727;-4397507,551927876;-709597,8095156343;-20680826,13425936;-19965738,96140777;-35634749,26513509;104371200000,0
182,18055555555554;-104371195220,94727;-4398174,224607834;-709705,3862435367;-20704160,51405157;-19943640,033578508;-35540094,967503875;104371200000,0
182,18402777777777;-104371195220,94727;-4398812,68578058;-709808,4106600482;-20726507,45571476;-19922476,26340689;-35449446,1443438;104371200000,0
182,1875;-104371195220,94727;-4399427,075051147;-709907,5507468893;-20748011,85061594;-19902110,430881456;-35362215,05384639;104371200000,0
182,19097222222223;-90597748947,14355;-3819368,0138288927;-616307,1113223894;-18028033,063058943;-17258610,410950813;-30622370,980891053;90597748597,80946
182,19444444444446;-73997920417,78564;-3119963,85974776;-503448,7137320249;-14738900,96608944;-14083070,736760264;-24954514,57193085;73997921667,446
182,19791666666666;-73988176918,02979;-3119929,153677741;-503443,1134343628;-14750124,813218394;-14068748,736784298;-24897827,349605173;73988177921,17273
182,20138888888889;-72585514640,8081;-3061128,54029545;-493954,8326385837;-14482632,3725372;-13790537,278019914;-24376572,1466286;72585514064,72563
182,20486111111111;-70344370651,24512;-2966930,0652463776;-478754,6241647562;-14046548,00852658;-13354249,393956888;-23578980,557969447;70344372776,94237
182,20833333333334;-67983781242,370605;-2871697,210241067;-463387,50437980826;-13613657,809727758;-12901146,452615906;-22722990,184832778;67983779736,590034
182,21180555555554;-65675632667,541504;-2778143,4175802604;-448291,324200451;-13186504,467886006;-12458610,86123469;-21892545,880772702;65675631934,120026
182,21527777777777;-63457065582,27539;-2687879,235176826;-433725,9674944422;-12772896,960916506;-12033641,370170124;-21099432,04264049;63457063514,99917
182,21875;-61334857177,734375;-2601241,163132371;-419745,7331418142;-12374637,606714845;-11627467,977550674;-20345169,13531769;61334857948,09535
182,22222222222223;-59304614639,28223;-2518115,8594906563;-406332,3318723558;-11991489,768085906;-11239172,451208703;-19627202,0259565;59304614815,921074
182,22569444444446;-57364880561,82861;-2438467,095822399;-393479,9177349779;-11623385,961566295;-10868450,195049709;-18944669,020559996;57364881003,28845
182,22916666666666;-55509495735,16846;-2362087,524126557;-381155,0323022397;-11269562,55739403;-10514071,3151751;-18294719,77347742;55509495187,288025
182,23263888888889;-53733624458,31299;-2288818,7232297254;-369332,1121575237;-10929457,689314902;-10175066,78016966;-17675057,536360994;53733626689,996666
182,23611111111111;-52033682441,711426;-2218525,034441801;-357989,2669212904;-10602495,42359138;-9850735,756844236;-17084238,398037516;52033680325,42676
182,23958333333334;-50406327438,35449;-2151083,024450606;-347106,5789454386;-10288162,185193488;-9540426,345245112;-16520890,901747432;50406325183,55455
182,24305555555554;-48847753715,51514;-2086359,3316583787;-336662,5285176019;-9985939,747181917;-9243384,34141758;-15983331,106229872;48847753081,12459
182,24652777777777;-46643034553,52783;-1993809,3593739665;-321728,32844443544;-9549596,148449058;-8824334,78688848;-15237761,452944191;46643033786,24304
182,25;-45434274101,257324;-1948831,3371151888;-314470,51121631457;-9274549,975506255;-8589888,120607164;-14842798,011942122;45434272887,602585
182,25347222222223;-44291802406,311035;-1905943,8602910384;-307550,03200150846;-9016137,237910606;-8368622,804983716;-14469499,221290955;44291802451,13566
182,25694444444446;-42415493774,41406;-1830695,936069705;-295407,7533203387;-8611564,855035942;-8009377,329304208;-13856474,2887612;42415492553,26701
182,26041666666666;-41282608509,06372;-1786433,7487017163;-288265,4458132315;-8359499,971385295;-7791164,256674889;-13487863,351054868;41282608129,05054
182,26388888888889;-40218550872,802734;-1743887,1005627592;-281399,96395444527;-8121019,641994872;-7586470,169663731;-13144631,340689452;40218551436,14229
182,26736111111111;-39243930530,548096;-1704098,1963728145;-274979,48168743146;-7900343,622393048;-7399121,932164052;-12833164,813607857;39243931218,52618
182,27083333333334;-38356543350,21973;-1667100,8199961437;-269009,45049937774;-7697091,633986835;-7228652,209171262;-12552431,723993037;38356542114,631546
182,27430555555554;-37548000240,32593;-1632646,097962065;-263449,7112620605;-7509689,498195259;-7073440,436040885;-12299385,21075273;37548001514,529625
182,27777777777777;-36762152481,0791;-1598401,3339451775;-257923,851613881;-7326897,972146658;-6922857,957952241;-12055400,179855756;36762152335,58717
182,28125;-36050243568,42041;-1566688,9426162548;-252806,6248312593;-7158979,798741429;-6786518,705115373;-11837056,207810352;36050244651,42144
182,28472222222223;-35431729602,81372;-1538437,8905770758;-248247,93234311912;-7009808,985577389;-6668047,945659811;-11650554,271521045;35431728679,74802
182,28819444444446;-34895703220,36743;-1513248,1250785235;-244183,22018312544;-6877202,399615976;-6565358,869074405;-11492166,833388086;34895704060,57383
182,29166666666666;-34435541725,15869;-1482630,4730798048;-239242,64451969584;-6790783,807252756;-6481077,930759544;-11332532,860699655;34435540440,53296
182,29513888888889;-34046430015,563965;-1455764,2059944356;-234907,405967284;-6714617,345268786;-6409878,739794702;-11200525,956186088;34046429776,989243
182,29861111111111;-33722767639,160156;-1432318,053771841;-231124,04958591083;-6648070,47822644;-6350743,712464641;-11093767,321901456;33722767862,04651
182,30208333333334;-33457648658,75244;-1411912,8013450827;-227831,38385341124;-6590194,746786027;-6302406,4357806295;-11009516,23105347;33457649791,969925
182,30555555555554;-33244568824,768066;-1394194,594979008;-224972,3096443401;-6540065,308549607;-6263671,735938884;-10945224,826994324;33244569756,93229
182,30902777777777;-33079972171,783447;-1378943,319647041;-222511,3083975908;-6497289,904126688;-6233896,438464969;-10899371,160025772;33079972616,16406
182,3125;-32963961696,624756;-1366098,6570522094;-220438,6469334248;-6462151,276848891;-6213123,699785136;-10871687,9681697;32963962348,89608
182,31597222222223;-32899130344,39087;-1355706,3705819503;-218761,7097984512;-6435375,068780777;-6201862,886628374;-10862776,541606847;32899129275,54769
182,31944444444446;-32886652278,900146;-1347755,69666109;-217478,7601430397;-6417366,862743788;-6200354,995518354;-10872819,13139085;32886651329,583076
182,32291666666666;-32925026321,411133;-1342137,2980925082;-216572,15491947305;-6407990,7925861;-6208332,969326215;-10901136,016443027;32925027606,86357
