#.t	H2O_sew	NH4_sew	PO4_sew	COD_sol	X_TSS_sew	COD_part	FD
#d	g/d	g/d	g/d	g/d	g/d	g/d	
181.00347222222223	-37449555873.87085	-864815.8463999998	-139549.82975999996	-3105475.0847999994	-5112240.946559999	-7840734.941951997	0.0004128930279601
181.00694444444446	-65372353363.03711	-864137.8943999998	-139440.43295999995	-3103040.620799999	-5108233.325759999	-7834588.382591997	0.000793992670912
181.01041666666666	-58864107513.427734	-864137.8943999998	-139440.43295999995	-3103040.620799999	-5108233.325759999	-7834588.382591997	0.0005965401140807
181.01388888888889	-47239437675.476074	-864137.8943999998	-139440.43295999995	-3103040.620799999	-5108233.325759999	-7834588.382591997	0.0007044353714246
181.01736111111111	-39138415431.97632	-864137.8943999998	-139440.43295999995	-3103040.620799999	-5108233.325759999	-7834588.382591997	0.0006435857840928
181.02083333333334	-34230814933.776855	-864137.8943999998	-139440.43295999995	-3103040.620799999	-5108233.325759999	-7834588.382591997	0.0006791618222899
181.02430555555554	-31688062763.21411	-864137.8943999998	-139440.43295999995	-3103040.620799999	-5108233.325759999	-7834588.382591997	0.0006584895789285
181.02777777777777	-30667196846.0083	-864137.8943999998	-139440.43295999995	-3103040.620799999	-5108233.325759999	-7834588.382591997	0.0006699592107434
181.03125	-30534021949.768066	-864137.8943999998	-139440.43295999995	-3103040.620799999	-5108233.325759999	-7834588.382591997	0.0006653579049701
181.03472222222223	-30821609687.805176	-864137.8943999998	-139440.43295999995	-3103040.620799999	-5108233.325759999	-7834588.382591997	0.0006607565991969
181.03819444444446	-31233674240.112305	-864137.8943999998	-139440.43295999995	-3103040.620799999	-5108233.325759999	-7834588.382591997	0.0006641907622177
181.04166666666666	-31698779582.977295	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	0.0006676249252385
181.04513888888889	-32598328113.55591	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	0.0006630236194652
181.04861111111111	-34973841762.542725	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	0.0006664577824861
181.05208333333334	-40724257564.54468	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	0.0006618564767128
181.05555555555554	-52803717613.220215	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	0.0006652906397336
181.05902777777777	-68740828514.09912	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	0.0006606893339603
181.0625	-81193077850.3418	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	0.0006641234969812
181.06597222222223	-90593546676.63574	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	0.000667557660002
181.06944444444446	-97024977493.28613	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	0.0006629563542287
181.07291666666666	-101121902847.29004	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	0.0006663905172495
181.07638888888889	-103389965057.37305	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	0.0006617892114763
181.07986111111111	-104430696487.42676	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	0.0006652233744971
181.08333333333334	-104857762527.46582	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	0.0006686575375179
181.08680555555554	-105185014343.26172	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	0.0006640562317447
181.09027777777777	-105595415496.82617	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	0.0006674903947655
181.09375	-106184505844.11621	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	0.0006628890889922
181.09722222222223	-106779858398.4375	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	0.000666323252013
181.10069444444446	-107152665710.44922	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	0.0006617219462398
181.10416666666666	-107328429794.31152	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	0.0006651561092606
181.10763888888889	-107438481903.07617	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	0.0006685902722814
181.11111111111111	-108008620834.35059	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	0.0006639889665081
181.11458333333334	-108783939743.04199	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	0.000667423129529
181.11805555555554	-109620067977.90527	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	0.0006628218237557
181.12152777777777	-110109632492.06543	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	0.0006662559867765
181.125	-110223825073.24219	-855496.5154559999	-138046.02863039996	-3072010.214591999	-4707587.574719999	-7007765.533631999	0.0006616546810033
181.12847222222223	-110137421035.7666	-855496.5154559999	-138046.02863039996	-3072010.214591999	-4707587.574719999	-7007765.533631999	0.0006650888440241
181.13194444444446	-110147586822.50977	-1058285.9485439998	-170768.86896959995	-3800208.6334079984	-5823488.105279998	-8668907.074367998	0.0007018690996329
181.13541666666666	-110524338912.96387	-1058285.9485439998	-170768.86896959995	-3800208.6334079984	-5823488.105279998	-8668907.074367998	0.0006746921261028
181.13888888888889	-110745133209.22852	-1058285.9485439998	-170768.86896959995	-3800208.6334079984	-5823488.105279998	-8668907.074367998	0.0006957279653373
181.14236111111111	-110517767715.4541	-1058285.9485439998	-170768.86896959995	-3800208.6334079984	-5823488.105279998	-8668907.074367998	0.0006846219293954
181.14583333333334	-109670320129.39453	-1058285.9485439998	-170768.86896959995	-3800208.6334079984	-5823488.105279998	-8668907.074367998	0.0006895868310417
181.14930555555554	-108426200866.69922	-1058285.9485439998	-170768.86896959995	-3800208.6334079984	-5823488.105279998	-8668907.074367998	0.0006865162638939
181.15277777777777	-106977107620.23926	-1058285.9485439998	-170768.86896959995	-3800208.6334079984	-5823488.105279998	-8668907.074367998	0.0006914811655402
181.15625	-105427231979.37012	-1058285.9485439998	-170768.86896959995	-3800208.6334079984	-5823488.105279998	-8668907.074367998	0.0006884105983925
181.15972222222223	-103808822250.36621	-1058285.9485439998	-170768.86896959995	-3800208.6334079984	-5823488.105279998	-8668907.074367998	0.0006853400312447
181.16319444444446	-101769536590.57617	-1058285.9485439998	-170768.86896959995	-3800208.6334079984	-5823488.105279998	-8668907.074367998	0.000690304932891
181.16666666666666	-99430653762.81738	-1036906.4344319996	-167318.99282879994	-3723436.741823999	-5513728.099679998	-8082428.130431998	0.0006872343657432
181.17013888888889	-96743147277.83203	-1036906.4344319996	-167318.99282879994	-3723436.741823999	-5513728.099679998	-8082428.130431998	0.0006921992673895
181.17361111111111	-93855888748.16895	-1632984.465024	-263504.3114016	-5863898.760768	-8683360.45776	-12728708.337024	0.0006043511957417
181.17708333333334	-90872729873.65723	-1637944.222464	-264304.6358976	-5881708.798848	-8709733.86336	-12767368.414464	0.0007770547207848
181.18055555555554	-87855324554.44336	-1640820.513024	-264768.7646016	-5892037.296768	-8725028.477760002	-12789788.385024002	0.0004208387531843
181.18402777777777	-84858034515.38086	-1640820.513024	-264768.7646016	-5892037.296768	-8725028.477760002	-12789788.385024002	0.0011494157995315
181.1875	-81935659217.83447	-1640820.513024	-264768.7646016	-5892037.296768	-8725028.477760002	-12789788.385024002	0.000757044949104
181.19097222222223	-79075581550.59814	-1642848.6666239998	-265096.0348416	-5899320.211967999	-8735813.141760001	-12805597.338624	0.0004701317486883
181.19444444444446	-76290089035.03418	-1642848.6666239998	-265096.0348416	-5899320.211967999	-8735813.141760001	-12805597.338624	0.0010470347765987
181.19791666666666	-73583445739.7461	-1642848.6666239998	-265096.0348416	-5899320.211967999	-8735813.141760001	-12805597.338624	0.0006556638148221
181.20138888888889	-70896253395.08057	-1642848.6666239998	-265096.0348416	-5899320.211967999	-8735813.141760001	-12805597.338624	0.0006821372303378
181.20486111111111	-68400686645.50781	-1642848.6666239998	-265096.0348416	-5899320.211967999	-8735813.141760001	-12805597.338624	0.0006162027547216
181.20833333333334	-66050597763.06152	-1592038.914048	-256897.1884032	-5716867.009535999	-8264283.240959999	-11956458.594816	0.0007511549989574
181.21180555555554	-63808568000.79346	-1592038.914048	-256897.1884032	-5716867.009535999	-8264283.240959999	-11956458.594816	0.000476298334695
181.21527777777777	-61668283653.25928	-2169681.5416320004	-350107.70330880006	-7791129.172224001	-11262829.472640002	-16294644.111744003	0.0006309341687539
181.21875	-59620562553.40576	-2179294.267392	-351658.8476928	-7825647.596543999	-11312729.18784	-16366837.169664	0.000538306362718
181.22222222222223	-57664287185.668945	-2184868.933632	-352558.3961088	-7845665.716223999	-11341667.31264	-16408703.775744	0.0004445037178171
181.22569444444446	-55797876548.76709	-2184868.933632	-352558.3961088	-7845665.716223999	-11341667.31264	-16408703.775744	0.0009734593579504
181.22916666666666	-54014532852.17285	-2184868.933632	-352558.3961088	-7845665.716223999	-11341667.31264	-16408703.775744	0.0008836839009392
181.23263888888889	-52311840820.3125	-2188799.7880319995	-353192.6930687999	-7859781.057023997	-11362072.400639996	-16438225.100543996	0.0007918838209083
181.23611111111111	-50687786865.234375	-2188799.7880319995	-353192.6930687999	-7859781.057023997	-11362072.400639996	-16438225.100543996	0.0007000904068018
181.23958333333334	-49134929466.24756	-2188799.7880319995	-353192.6930687999	-7859781.057023997	-11362072.400639996	-16438225.100543996	0.0006082969926953
181.24305555555554	-47650482559.2041	-2188799.7880319995	-353192.6930687999	-7859781.057023997	-11362072.400639996	-16438225.100543996	0.0005165035785888
181.24652777777777	-46231809425.354004	-2188799.7880319995	-353192.6930687999	-7859781.057023997	-11362072.400639996	-16438225.100543996	0.0004247101644822
181.25	-44875088882.44629	-2142229.579776	-345677.9549183999	-7692551.672831999	-10875202.041599996	-15502587.280127997	0.0012047651145337
181.25347222222223	-43583225440.979004	-2142229.579776	-345677.9549183999	-7692551.672831999	-10875202.041599996	-15502587.280127997	0.0011169894348243
181.25694444444446	-42360426521.30127	-2519131.152384001	-406496.1632256001	-9045970.956288002	-12788573.414400002	-18230095.844352003	0.001220455706599
181.26041666666666	-41213332843.78052	-2521953.612288001	-406951.6056192002	-9056106.153216006	-12802901.860800007	-18250521.02726401	0.0013260372397846
181.26388888888889	-40149367904.663086	-2523590.429184001	-407215.7283456001	-9061983.813888002	-12811211.294400005	-18262366.114752	0.0014324716416298
181.26736111111111	-39174773311.61499	-2523590.429184001	-407215.7283456001	-9061983.813888002	-12811211.294400005	-18262366.114752	0.0015389088795228
