;scenario;group;pollutant;metric;value
75;Constant dry weather flow only;pollutants;PO4_sew;avg_max_daily_load;4927.17497699195
76;Constant dry weather flow only;pollutants;PO4_sew;avg_concentration;7.18167926510816
77;Constant dry weather flow only;pollutants;PO4_sew;avg_max_daily_concentration;7.431636605019069
78;Constant dry weather flow only;pollutants;COD_sol;avg_daily_load;105959.10079849699
79;Constant dry weather flow only;pollutants;COD_sol;avg_max_daily_load;109646.99244573631
80;Constant dry weather flow only;pollutants;COD_sol;avg_concentration;159.81765125170264
81;Constant dry weather flow only;pollutants;COD_sol;avg_max_daily_concentration;165.38008219619894
82;Constant dry weather flow only;pollutants;X_TSS_sew;avg_daily_load;169758.86828987408
83;Constant dry weather flow only;pollutants;X_TSS_sew;avg_max_daily_load;182685.90702844108
84;Constant dry weather flow only;pollutants;X_TSS_sew;avg_concentration;256.0465632945391
85;Constant dry weather flow only;pollutants;X_TSS_sew;avg_max_daily_concentration;275.5443596449104
86;Constant dry weather flow only;pollutants;COD_part;avg_daily_load;257524.59365746868
87;Constant dry weather flow only;pollutants;COD_part;avg_max_daily_load;282401.6573979557
88;Constant dry weather flow only;pollutants;COD_part;avg_concentration;388.4232254495459
89;Constant dry weather flow only;pollutants;COD_part;avg_max_daily_concentration;425.9451925772618
90;Constant dry weather flow only;pollutants_effluent;.effluent.y_BOD;avg_daily_load;1600.5298507084153
91;Constant dry weather flow only;pollutants_effluent;.effluent.y_BOD;avg_max_daily_load;1895.9462811034439
92;Constant dry weather flow only;pollutants_effluent;.effluent.y_BOD;avg_concentration;1.3598610056608929
93;Constant dry weather flow only;pollutants_effluent;.effluent.y_BOD;avg_max_daily_concentration;1.3872445211956523
94;Constant dry weather flow only;pollutants_effluent;.effluent.y_COD;avg_daily_load;40430.69394216475
95;Constant dry weather flow only;pollutants_effluent;.effluent.y_COD;avg_max_daily_load;48742.898972170246
96;Constant dry weather flow only;pollutants_effluent;.effluent.y_COD;avg_concentration;34.34131288902246
97;Constant dry weather flow only;pollutants_effluent;.effluent.y_COD;avg_max_daily_concentration;34.472436586956526
98;Constant dry weather flow only;pollutants_effluent;.effluent.y_DO;avg_daily_load;5582.483976015389
99;Constant dry weather flow only;pollutants_effluent;.effluent.y_DO;avg_max_daily_load;6583.565364045832
100;Constant dry weather flow only;pollutants_effluent;.effluent.y_DO;avg_concentration;4.746371243511283
101;Constant dry weather flow only;pollutants_effluent;.effluent.y_DO;avg_max_daily_concentration;5.093789572282609
