location,rain_threshold,certainty_threshold,OF_1_outflow,OF_1_FD,OF_1_outflow_2,OF_2_cso,OF_3_margin_025,OF_3_margin_05,OF_3_margin_10,OF_3_margin_15,OF_4_COD_part,OF_4_COD_sol,OF_4_X_TSS_sew,OF_4_NH4_sew,OF_4_PO4_sew
ES,1.75,0.825,0.044,0.424,0.017,29.443,5829,6073,6499,7234,11975277281901.229,1484865355791.165,4857935273469.754,115153794616.715,2998400199.705
ES,1.75,0.85,0.044,0.278,0.017,29.859,5899,6105,6491,7229,11851684363145.12,1501834855214.604,4833348867553.167,116469807710.923,3032666842.308
ES,1.75,0.875,0.046,0.26,0.02,30.391,5973,6078,6438,7217,13775099655303.69,1845034632368.206,5948369557180.194,143085525086.719,3725692830.383
ES,1.75,0.8,0.044,0.43,0.017,29.414,5888,6131,6517,7232,11508978076406.238,1419068193678.24,4649737139742.873,110051114523.357,2865535476.819
ES,1.75,0.925,0.076,1.361,0.058,34.868,5855,5958,6366,7169,16633028361663.068,2401846118126.668,7312942320655.501,186267188138.649,4850066608.507
ES,1.75,0.9,0.04,0.532,0.017,33.312,5812,5920,6298,7255,15102786415635.25,2104493559951.393,6591681570721.27,163206999361.718,4249620267.471
ES,1.0,0.725,0.044,0.305,0.017,29.413,5902,6127,6506,7232,11492191739604.277,1420169164621.992,4645930393437.477,110136496663.521,2867758676.037
ES,1.0,0.75,0.044,0.305,0.017,29.413,5902,6127,6506,7232,11492191739604.277,1420169164621.992,4645930393437.477,110136496663.521,2867758676.037
ES,1.0,0.775,0.044,0.308,0.017,29.87,5937,6162,6540,7232,11421308025780.07,1420367433090.354,4610944133393.788,110151872715.228,2868159041.103
ES,1.0,0.825,0.042,0.268,0.019,30.254,5895,5994,6382,7213,15170253749206.072,2075574564056.301,6590305535109.836,160964282807.763,4191223913.398
ES,1.0,0.85,0.044,0.993,0.026,34.875,5849,5953,6369,7241,15385908575881.912,2168938745507.151,6737229668145.476,168204831409.303,4379754933.545
ES,1.0,0.875,0.058,1.563,0.056,34.872,5823,5930,6319,7171,17109109728005.441,2479824162448.68,7547519244324.614,192314516043.129,5007528281.887
ES,1.0,0.8,0.046,0.267,0.02,30.38,5961,6066,6428,7217,13969935361246.324,1873890478479.475,6039098186960.81,145323344269.199,3783961665.604
ES,1.0,0.925,0.086,2.693,0.215,36.157,5717,5768,6230,7132,24352436621608.59,3423935736581.808,10986342172943.76,265531949448.101,6913980150.66
ES,1.0,0.9,0.086,2.689,0.209,34.868,5885,5931,6329,7164,17007560134597.898,2503220077307.722,7581796135341.927,194128908414.828,5054771835.326
ES,2.25,0.725,0.044,0.413,0.017,29.414,5946,6186,6558,7230,11440424623868.62,1411010990339.512,4613519588296.487,109426264913.367,2849265503.245
ES,2.25,0.75,0.044,0.413,0.017,29.414,5946,6186,6558,7230,11440424623868.62,1411010990339.512,4613519588296.487,109426264913.367,2849265503.245
ES,2.25,0.775,0.044,0.458,0.017,29.414,5946,6186,6558,7230,11440424623868.62,1411010990339.512,4613519588296.487,109426264913.367,2849265503.245
ES,2.25,0.825,0.044,0.43,0.017,29.414,5888,6131,6517,7232,11508978076406.238,1419068193678.24,4649737139742.873,110051114523.357,2865535476.819
ES,2.25,0.85,0.044,0.43,0.017,29.414,5888,6131,6517,7232,11508978076406.238,1419068193678.24,4649737139742.873,110051114523.357,2865535476.819
ES,2.25,0.875,0.044,0.275,0.017,29.404,5822,6080,6494,7229,11797847841283.127,1471024717956.512,4781431999110.967,114080429977.72,2970451691.724
ES,2.25,0.8,0.044,0.458,0.017,29.414,5923,6165,6551,7230,11450847704104.883,1409618895058.57,4616618608614.9,109318305593.391,2846454434.382
ES,2.25,0.925,0.044,0.527,0.02,33.849,5856,5964,6355,7252,15284026733278.79,2127107683833.575,6692752649494.646,164960762534.122,4295285144.29
ES,2.25,0.9,0.046,0.285,0.02,29.861,5885,6044,6421,7217,14278015834045.852,1919487664966.98,6001617174178.646,148859482429.742,3876036420.084
ES,2.5,0.725,0.044,0.447,0.017,29.414,5954,6192,6560,7229,11452016086509.111,1411424581429.797,4618754911996.582,109458339594.941,2850100670.961
ES,2.5,0.75,0.044,0.413,0.017,29.414,5946,6186,6558,7230,11440424623868.62,1411010990339.512,4613519588296.487,109426264913.367,2849265503.245
ES,2.5,0.775,0.044,0.413,0.017,29.414,5946,6186,6558,7230,11440424623868.62,1411010990339.512,4613519588296.487,109426264913.367,2849265503.245
ES,2.5,0.825,0.044,0.458,0.017,29.414,5923,6165,6551,7230,11450847704104.883,1409618895058.57,4616618608614.9,109318305593.391,2846454434.382
ES,2.5,0.85,0.044,0.43,0.017,29.414,5888,6131,6517,7232,11508978076406.238,1419068193678.24,4649737139742.873,110051114523.357,2865535476.819
ES,2.5,0.875,0.044,0.412,0.017,29.414,5877,6120,6505,7227,11566319414718.9,1435171841844.929,4683710068594.967,111299979402.811,2898053699.223
ES,2.5,0.8,0.044,0.413,0.017,29.414,5946,6186,6558,7230,11440424623868.62,1411010990339.512,4613519588296.487,109426264913.367,2849265503.245
ES,2.5,0.925,0.044,0.543,0.02,33.319,5846,5956,6348,7252,15418747029853.615,2144413127211.01,6753358671879.413,166302828644.47,4330230161.14
ES,2.5,0.9,0.044,0.275,0.017,29.405,5815,6078,6480,7229,11934799980919.754,1498406733612.231,4846430171349.439,116203951140.575,3025744409.606
ES,2.75,0.725,0.044,0.447,0.017,29.414,5954,6192,6560,7229,11452016086509.111,1411424581429.797,4618754911996.582,109458339594.941,2850100670.961
ES,2.75,0.75,0.044,0.447,0.017,29.414,5954,6192,6560,7229,11452016086509.111,1411424581429.797,4618754911996.582,109458339594.941,2850100670.961
ES,2.75,0.775,0.044,0.447,0.017,29.414,5954,6192,6560,7229,11452016086509.111,1411424581429.797,4618754911996.582,109458339594.941,2850100670.961
ES,2.75,0.825,0.044,0.458,0.017,29.414,5946,6186,6558,7230,11440424623868.62,1411010990339.512,4613519588296.487,109426264913.367,2849265503.245
ES,2.75,0.85,0.044,0.43,0.017,29.414,5888,6131,6517,7232,11508978076406.238,1419068193678.24,4649737139742.873,110051114523.357,2865535476.819
ES,2.75,0.875,0.044,0.43,0.017,29.414,5888,6131,6517,7232,11508978076406.238,1419068193678.24,4649737139742.873,110051114523.357,2865535476.819
ES,2.75,0.8,0.044,0.413,0.017,29.414,5946,6186,6558,7230,11440424623868.62,1411010990339.512,4613519588296.487,109426264913.367,2849265503.245
ES,2.75,0.925,0.044,0.537,0.02,32.232,5836,5946,6338,7252,15438070748436.605,2147404308820.433,6761613352113.036,166534799786.746,4336270277.505
ES,2.75,0.9,0.044,0.276,0.017,29.406,5823,6065,6476,7229,12015202981956.562,1508049394816.953,4881826671636.694,116951755662.779,3045215910.62
ES,2.0,0.725,0.044,0.458,0.017,29.414,5946,6186,6558,7230,11440424623868.62,1411010990339.512,4613519588296.487,109426264913.367,2849265503.245
ES,2.0,0.75,0.044,0.458,0.017,29.414,5946,6186,6558,7230,11440424623868.62,1411010990339.512,4613519588296.487,109426264913.367,2849265503.245
ES,2.0,0.775,0.044,0.458,0.017,29.414,5946,6186,6558,7230,11440424623868.62,1411010990339.512,4613519588296.487,109426264913.367,2849265503.245
ES,2.0,0.825,0.044,0.43,0.017,29.414,5888,6131,6517,7232,11508978076406.238,1419068193678.24,4649737139742.873,110051114523.357,2865535476.819
ES,2.0,0.85,0.044,0.424,0.017,29.406,5828,6073,6499,7234,11975581297692.021,1484900355224.511,4857964416168.87,115156508881.374,2998470874.334
ES,2.0,0.875,0.044,0.278,0.017,29.859,5899,6105,6491,7229,11851684363145.12,1501834855214.604,4833348867553.167,116469807710.923,3032666842.308
ES,2.0,0.8,0.044,0.43,0.017,29.414,5888,6131,6517,7232,11508978076406.238,1419068193678.24,4649737139742.873,110051114523.357,2865535476.819
ES,2.0,0.925,0.043,0.535,0.016,33.842,5847,5953,6320,7254,15255241136150.559,2136943198161.523,6657809124579.614,165723523138.948,4315146075.121
ES,2.0,0.9,0.044,0.543,0.02,33.319,5846,5956,6348,7252,15418747029853.615,2144413127211.01,6753358671879.413,166302828644.47,4330230161.14
ES,,,0.075,2.215,0.177,30.332,5889,6125,6549,7221,11554956655811.951,1454093301333.07,4705539328435.743,112767370268.42,2936261950.016
RZ,0.5,0.725,0.044,0.551,0.012,309.554,5145,5365,5743,7048,24666929848150.727,7193884549919.941,7762397410590.54,325359717221.272,8471788917.936
RZ,0.5,0.75,0.044,0.557,0.012,309.551,5131,5370,5754,7049,24734971928882.715,7208673475401.143,7785245587358.631,325942162363.4,8486954754.514
RZ,0.5,0.775,0.044,0.557,0.012,309.536,5110,5350,5763,7048,24698173616093.746,7207179886079.9,7772884120925.384,325907387500.188,8486049278.866
RZ,0.5,0.825,0.044,0.58,0.013,309.55,4934,5205,5646,7049,25845971120551.098,7436224531754.276,8097891442517.164,336526440206.349,8762550542.77
RZ,0.5,0.85,0.044,0.575,0.014,309.548,4782,5091,5557,7054,27102268605925.727,7654097004863.978,8446205536451.545,346138449445.618,9012830184.17
RZ,0.5,0.875,0.044,0.576,0.015,309.545,4523,4868,5430,7056,27776465152761.973,7838565733432.02,8646967079157.71,354514515158.295,9230928052.236
RZ,0.5,0.8,0.044,0.578,0.012,309.543,5062,5301,5715,7048,25025851715037.836,7276443603550.753,7873300354281.27,329148287272.643,8570436550.317
RZ,0.5,0.925,0.052,0.69,0.018,309.557,4334,4709,5322,7036,30415138475902.27,8463278217063.964,9432851238418.793,382962664677.456,9971667317.35
RZ,0.5,0.9,0.052,0.619,0.017,309.552,4390,4756,5339,7053,30225056207418.957,8417661954103.207,9391888153699.543,380712908905.965,9913087674.561
RZ,1.5,0.725,0.081,1.13,0.042,309.56,5258,5447,5764,6953,21343459418108.67,6387428271077.253,6814645107595.816,290113053094.617,7554028412.448
RZ,1.5,0.75,0.054,1.072,0.012,309.55,5252,5442,5784,6977,21120211335581.79,6332459816683.415,6709677766775.037,286575925748.303,7461927901.328
RZ,1.5,0.775,0.058,0.934,0.011,309.558,5277,5485,5831,6966,22712489551052.11,6744441524753.128,7188287955146.731,305129722119.434,7945035791.343
RZ,1.5,0.825,0.044,0.549,0.012,309.546,5131,5349,5733,7049,24709106957559.684,7206014967101.683,7788965105535.052,325692056766.271,8480442449.167
RZ,1.5,0.85,0.044,0.551,0.012,309.551,5128,5364,5751,7048,24706613524978.0,7201627749427.491,7779446838724.695,325632744993.018,8478898075.98
RZ,1.5,0.875,0.044,0.55,0.012,309.545,5120,5356,5755,7048,24745677106759.055,7213350238138.716,7792796743703.588,326192189210.187,8493465009.342
RZ,1.5,0.8,0.054,0.875,0.012,309.549,5215,5453,5815,6971,23677409741360.027,6993718452253.928,7479494303613.358,316291499984.55,8235668654.04
RZ,1.5,0.925,0.044,0.578,0.013,309.547,4927,5196,5640,7048,25919999554684.996,7456560250697.538,8131750120806.187,337321267514.733,8783246433.584
RZ,1.5,0.9,0.044,0.557,0.013,309.546,4953,5217,5659,7050,25686267928822.95,7397466971268.768,8060295726318.673,334604207354.786,8712499014.853
RZ,1.0,0.725,0.058,0.932,0.011,309.55,5221,5461,5824,6958,23066066876432.086,6828363835058.266,7291763928727.412,308783953035.13,8040185471.333
RZ,1.0,0.75,0.054,0.876,0.012,309.548,5119,5339,5735,6971,24329377471444.613,7107148791735.697,7656733942931.355,321409356533.997,8368928544.875
RZ,1.0,0.775,0.044,0.55,0.012,309.552,5139,5357,5741,7049,24728695677690.824,7210401801468.243,7795041235125.671,325874493075.01,8485192766.483
RZ,1.0,0.825,0.044,0.55,0.012,309.551,5122,5360,5747,7048,24621176036697.92,7183873397244.807,7748417436520.0,324903340030.71,8459905666.812
RZ,1.0,0.85,0.044,0.557,0.012,309.536,5110,5350,5763,7048,24698173616093.746,7207179886079.9,7772884120925.384,325907387500.188,8486049278.866
RZ,1.0,0.875,0.044,0.579,0.013,309.552,4951,5223,5670,7048,25663247547789.145,7396313658362.255,8052719230573.289,334600542782.104,8712403595.891
