,COD_part,COD_sol,X_TSS_sew,NH4_sew,PO4_sew,H2O_sew,FD
2024-07-01 00:05:00,-13666840.680051543,-7791754.457969871,-7602259.708583504,-1664258.2337411372,-268550.7604445926,37449555214.69707,0.0
2024-07-01 00:10:00,-16452779.7888,-9380077.1712,-9151954.56,-2003511.6287999996,-323293.92191999994,45083520000.00001,0.11778285948487005
2024-07-01 00:15:00,-16452779.788800003,-9380077.171200002,-9151954.56,-2003511.6288,-323293.92191999994,45083520000.00001,0.14394814402855105
2024-07-01 00:20:00,-16452779.788800003,-9380077.1712,-9151954.559999999,-2003511.6287999996,-323293.92191999994,45083520000.00001,0.15912603594332297
2024-07-01 00:25:00,-16452779.788800003,-9380077.171200002,-9151954.559999997,-2003511.6287999996,-323293.92191999994,45083520000.00001,0.1701856475502569
2024-07-01 00:30:00,-16452779.7888,-9380077.171200002,-9151954.559999999,-2003511.6287999996,-323293.92191999994,45083520000.00001,0.178315792865339
2024-07-01 00:35:00,-16452779.7888,-9380077.1712,-9151954.559999997,-2003511.6287999996,-323293.92191999994,45083520000.00001,0.18563064368328466
2024-07-01 00:40:00,-11189620.97763107,-6379439.19714452,-6224291.824571455,-1362598.663467761,-219873.87524138868,30661536081.632797,0.19232563659733812
2024-07-01 00:45:00,-11143119.651508106,-6352927.8092091195,-6198425.191144147,-1356936.036918453,-218960.13323002306,30534114242.089405,0.19880167314473932
2024-07-01 00:50:00,-11248050.555679973,-6412751.133377474,-6256793.617589287,-1369713.8343136352,-221022.0050824275,30821643436.400436,0.20589923954182357
2024-07-01 00:55:00,-10684127.237716142,-6091246.542114376,-5943107.98831692,-1301042.9507428766,-209941.02159714594,31233690554.969654,0.21265343788999486
2024-07-01 01:00:00,-10413591.510493008,-5912975.972905242,-5784106.804764127,-1262965.741785586,-203796.7446972195,31698799315.009624,0.21966864886111978
2024-07-01 01:05:00,-10328949.618471125,-5844047.8734755805,-5729700.682138186,-1248243.2351112894,-201421.0674838671,32598356345.3923,0.22628530838955138
2024-07-01 01:10:00,-10799668.109708963,-6091643.496326188,-5984181.947687845,-1301127.7370793803,-209954.70302871813,34973862142.19961,0.233117290072265
2024-07-01 01:15:00,-12333729.193125207,-6938262.120690413,-6827599.016936423,-1481958.8995649426,-239134.27697525208,40724205005.853096,0.24008551164535744
2024-07-01 01:20:00,-13376179.992354188,-7506320.7538712025,-7398163.4406348225,-1603291.811506471,-258712.99685672595,45083520000.00001,0.24668220093842486
2024-07-01 01:25:00,-13174831.393242989,-7377304.4929958675,-7281123.184828076,-1575734.9402515444,-254266.31990422646,45083520000.00001,0.2527422945257063
2024-07-01 01:30:00,-12991007.27168851,-7260082.252662066,-7174469.761680921,-1550697.1801802474,-250226.1358927217,45083520000.00001,0.2588602179237041
2024-07-01 01:35:00,-12818668.89161753,-7150972.117443938,-7074759.380173607,-1527392.102755016,-246465.54385365028,45083520000.00001,0.2649180145449099
2024-07-01 01:40:00,-12657750.34925237,-7049712.798277887,-6981876.123819618,-1505763.898661296,-242975.5381930728,45083520000.00001,0.26822475156996267
