,H2O_sew,COD_part,COD_sol,X_TSS_sew,NH4_sew,PO4_sew,FD
14643,-53658365000.0,-17427163.7847,-8647582.1034,-12177765.93675,-2408187.4212,-388593.87932999997,0.079115046
14644,-55051591000.0,-17879655.72498,-8872114.40556,-12493958.577450002,-2470715.4040800002,-398683.622022,0.080462744
14645,-56556478000.0,-18368412.92484,-9114641.99448,-12835492.682100002,-2538254.73264,-409582.013676,0.081908657
14646,-58116324000.0,-21722719.584719997,-10008793.31928,-14819662.620000001,-2787258.89904,-449762.231436,0.08339166
14647,-59585823000.0,-22271988.920939997,-10261870.437059999,-15194384.864999998,-2857736.0710799997,-461134.684197,0.084772931
14648,-61253553000.0,-22895353.04034,-10549086.89766,-15619656.015,-2937720.4018800003,-474041.246667,0.086318765
14649,-62878775000.0,-23502828.5195,-10828982.6305,-16034087.625,-3015666.049,-486618.839725,0.087801871
14650,-64601222000.0,-27265591.757320005,-11533902.17588,-18120642.771,-3211972.75784,-518295.604106,0.089341508
14651,-66351550000.0,-28004335.193000004,-11846405.737,-18611609.775000002,-3298999.066,-532338.48565,0.090753047
14652,-68128267000.00001,-28754216.370020006,-12163620.790180001,-19109978.8935,-3387337.4352400005,-546593.086141,0.091937877
14653,-70033015000.0,-29558134.310900003,-12503694.4981,-19644260.7075,-3482041.5058,-561874.879345,0.092959541
14654,-71582728000.0,-30212206.179680005,-12780380.25712,-20078955.204,-3559093.23616,-574308.226744,0.093629413
14655,-73114848000.0,-33201452.4768,-12707360.5824,-21440929.176,-3538758.6432000003,-571026.96288,0.094086692
14656,-74777085000.0,-33956274.2985,-12996257.373000002,-21928380.176250003,-3619210.914000001,-584009.0338500001,0.094307758
14657,-75963920000.0,-34495216.072,-13202529.296,-22276419.54,-3676653.728,-593278.2152,0.094208665
14658,-77085385000.0,-35004473.328499995,-13397439.913,-22605289.151249997,-3730932.634,-602036.85685,0.093856676
14659,-78024125000.0,-37448459.035,-12820924.219999999,-23477459.2125,-3570383.9600000004,-576130.139,0.093299115
14660,-78718401000.0,-37781683.74396,-12935007.65232,-23686366.860899996,-3602154.0297600003,-581256.672984,0.092672184
14661,-79248178000.0,-38035955.51288,-13022060.608959999,-23845776.760199998,-3626396.6252800003,-585168.546352,0.091942657
14662,-79600525000.0,-38205067.978999995,-13079958.268,-23951797.972499996,-3642520.024,-587770.2765999999,0.091120592
14663,-79769019000.0,-38538008.45928,-12855575.10204,-24002497.8171,-3580033.57272,-577687.235598,0.090233331
