,H2O_sew,COD_part,COD_sol,X_TSS_sew,NH4_sew,PO4_sew,FD
3693,-88707956000.0,-23255378.20524187,-15782663.057531362,-19268255.12276,-3158465.238837729,-509661.43626699713,0.070842757
3694,-85736151000.0,-22515075.267495897,-15367752.983058196,-18622749.35871,-3075432.4171466064,-496262.95822138415,0.068867236
3695,-82879644000.0,-21802414.67010311,-14965771.69372854,-18002287.47324,-2994986.935646891,-483281.98279756645,0.067175337
3696,-80108396000.0,-21361632.95854127,-13652777.373148236,-17075104.6074,-2832008.151898374,-456983.133601783,0.065406625
3697,-77482592000.0,-20699733.497622263,-13300019.479241977,-16515414.484800002,-2758835.257923419,-445175.68934673356,0.06392122
3698,-74933860000.0,-20056315.071962625,-12955272.742843183,-15972152.259000001,-2687324.125709256,-433636.39301217534,0.062313349
3699,-72516044000.0,-19517198.677057713,-12553884.314761097,-15456794.7786,-2604063.7553583975,-420201.19688737777,0.061354748
3700,-70253025000.0,-17945867.136315655,-11758333.472248372,-14261364.075,-2511488.7028103317,-405262.9497716671,0.060220486
3701,-67906893000.0,-17524290.7402731,-11307719.456921143,-13785099.279,-2415241.049051118,-389732.07836961217,0.059325065
3702,-65901089000.00001,-17164647.718665197,-10921007.745651873,-13377921.067000002,-2332642.4311101083,-376403.66502004024,0.058402471
3703,-64017371000.0,-16829135.440932106,-10555982.522959923,-12995526.313,-2254675.878690469,-363822.6986068711,0.05765614
3704,-62068373000.0,-16484101.3081424,-10176366.898161244,-12599879.719,-2173592.929704343,-350738.85911138257,0.056871569
3705,-60405134000.0,-16158828.795977687,-9362864.169205422,-12016997.357959999,-1999835.065267177,-322700.65825902176,0.056337502
3706,-58772886000.0,-15870581.317277482,-9057187.63970046,-11692277.94084,-1934544.932751554,-312165.2050576372,0.055563466
3707,-57135280000.0,-15584341.756444065,-8748373.608230283,-11366492.6032,-1868584.654185109,-301521.6146525971,0.054941484
3708,-55775809000.0,-15351107.14250169,-8489503.190528944,-11096039.44246,-1813291.943608124,-292599.38180949277,0.054109366
3709,-54552662000.0,-14839669.225760384,-8082365.283878609,-10631222.770559998,-1726330.4489837803,-278566.9588132918,0.05412841
3710,-53256016000.0,-14629327.524004923,-7836046.40452516,-10378532.39808,-1673718.6495102285,-270077.327534605,0.053644075
3711,-52045538000.0,-14434979.634758446,-7604447.854943738,-10142634.44544,-1624250.998143323,-262095.04742767257,0.053258162
