#.t	H2O_sew	NH4_sew	PO4_sew	COD_sol	X_TSS_sew	COD_part	H2O_sew2
#d	g/d	g/d	g/d	g/d	g/d	g/d	g/d
181.00347222222223	-37449555873.87085	-864815.8463999998	-139549.82975999996	-3105475.0847999994	-5112240.946559999	-7840734.941951997	-19654905600.0
181.00694444444446	-65372353363.03711	-864137.8943999998	-139440.43295999995	-3103040.620799999	-5108233.325759999	-7834588.382591997	-19639497600.0
181.01041666666666	-58864107513.427734	-864137.8943999998	-139440.43295999995	-3103040.620799999	-5108233.325759999	-7834588.382591997	-19639497600.0
181.01388888888889	-47239437675.476074	-864137.8943999998	-139440.43295999995	-3103040.620799999	-5108233.325759999	-7834588.382591997	-19639497600.0
181.01736111111111	-39138415431.97632	-864137.8943999998	-139440.43295999995	-3103040.620799999	-5108233.325759999	-7834588.382591997	-19639497600.0
181.02083333333334	-34230814933.776855	-864137.8943999998	-139440.43295999995	-3103040.620799999	-5108233.325759999	-7834588.382591997	-19639497600.0
181.02430555555554	-31688062763.21411	-864137.8943999998	-139440.43295999995	-3103040.620799999	-5108233.325759999	-7834588.382591997	-19639497600.0
181.02777777777777	-30667196846.0083	-864137.8943999998	-139440.43295999995	-3103040.620799999	-5108233.325759999	-7834588.382591997	-19639497600.0
181.03125	-30534021949.768066	-864137.8943999998	-139440.43295999995	-3103040.620799999	-5108233.325759999	-7834588.382591997	-19639497600.0
181.03472222222223	-30821609687.805176	-864137.8943999998	-139440.43295999995	-3103040.620799999	-5108233.325759999	-7834588.382591997	-19639497600.0
181.03819444444446	-31233674240.112305	-864137.8943999998	-139440.43295999995	-3103040.620799999	-5108233.325759999	-7834588.382591997	-19639497600.0
181.04166666666666	-31698779582.977295	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	-19639497600.0
181.04513888888889	-32598328113.55591	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	-19639497600.0
181.04861111111111	-34973841762.542725	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	-19639497600.0
181.05208333333334	-40724257564.54468	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	-19639497600.0
181.05555555555554	-52803717613.220215	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	-19639497600.0
181.05902777777777	-68740828514.09912	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	-19639497600.0
181.0625	-81193077850.3418	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	-19639497600.0
181.06597222222223	-90593546676.63574	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	-19639497600.0
181.06944444444446	-97024977493.28613	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	-19639497600.0
181.07291666666666	-101121902847.29004	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	-19639497600.0
181.07638888888889	-103389965057.37305	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	-19639497600.0
181.07986111111111	-104430696487.42676	-855496.5154559999	-138046.02863039996	-3072010.214591999	-5008071.887999998	-7651155.475007999	-19639497600.0
181.08333333333334	-104857762527.46582	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	-19639497600.0
181.08680555555554	-105185014343.26172	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	-19639497600.0
181.09027777777777	-105595415496.82617	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	-19639497600.0
181.09375	-106184505844.11621	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	-19639497600.0
181.09722222222223	-106779858398.4375	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	-19639497600.0
181.10069444444446	-107152665710.44922	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	-19639497600.0
181.10416666666666	-107328429794.31152	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	-19639497600.0
181.10763888888889	-107438481903.07617	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	-19639497600.0
181.11111111111111	-108008620834.35059	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	-19639497600.0
181.11458333333334	-108783939743.04199	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	-19639497600.0
181.11805555555554	-109620067977.90527	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	-19639497600.0
181.12152777777777	-110109632492.06543	-846855.1365119998	-136651.62430079994	-3040979.8083839994	-4857829.731359999	-7360490.910527998	-19639497600.0
181.125	-110223825073.24219	-855496.5154559999	-138046.02863039996	-3072010.214591999	-4707587.574719999	-7007765.533631999	-19639497600.0
181.12847222222223	-110137421035.7666	-855496.5154559999	-138046.02863039996	-3072010.214591999	-4707587.574719999	-7007765.533631999	-19639497600.0
181.13194444444446	-110147586822.50977	-1058285.9485439998	-170768.86896959995	-3800208.6334079984	-5823488.105279998	-8668907.074367998	-24294902399.999992
181.13541666666666	-110524338912.96387	-1058285.9485439998	-170768.86896959995	-3800208.6334079984	-5823488.105279998	-8668907.074367998	-24294902399.999992
181.13888888888889	-110745133209.22852	-1058285.9485439998	-170768.86896959995	-3800208.6334079984	-5823488.105279998	-8668907.074367998	-24294902399.999992
181.14236111111111	-110517767715.4541	-1058285.9485439998	-170768.86896959995	-3800208.6334079984	-5823488.105279998	-8668907.074367998	-24294902399.999992
181.14583333333334	-109670320129.39453	-1058285.9485439998	-170768.86896959995	-3800208.6334079984	-5823488.105279998	-8668907.074367998	-24294902399.999992
181.14930555555554	-108426200866.69922	-1058285.9485439998	-170768.86896959995	-3800208.6334079984	-5823488.105279998	-8668907.074367998	-24294902399.999992
181.15277777777777	-106977107620.23926	-1058285.9485439998	-170768.86896959995	-3800208.6334079984	-5823488.105279998	-8668907.074367998	-24294902399.999992
181.15625	-105427231979.37012	-1058285.9485439998	-170768.86896959995	-3800208.6334079984	-5823488.105279998	-8668907.074367998	-24294902399.999992
181.15972222222223	-103808822250.36621	-1058285.9485439998	-170768.86896959995	-3800208.6334079984	-5823488.105279998	-8668907.074367998	-24294902399.999992
181.16319444444446	-101769536590.57617	-1058285.9485439998	-170768.86896959995	-3800208.6334079984	-5823488.105279998	-8668907.074367998	-24294902399.999992
181.16666666666666	-99430653762.81738	-1036906.4344319996	-167318.99282879994	-3723436.741823999	-5513728.099679998	-8082428.130431998	-24294902399.999992
181.17013888888889	-96743147277.83203	-1036906.4344319996	-167318.99282879994	-3723436.741823999	-5513728.099679998	-8082428.130431998	-24294902399.999992
181.17361111111111	-93855888748.16895	-1632984.465024	-263504.3114016	-5863898.760768	-8683360.45776	-12728708.337024	-38261116800.0
181.17708333333334	-90872729873.65723	-1637944.222464	-264304.6358976	-5881708.798848	-8709733.86336	-12767368.414464	-38377324800.0
181.18055555555554	-87855324554.44336	-1640820.513024	-264768.7646016	-5892037.296768	-8725028.477760002	-12789788.385024002	-38444716800.0
181.18402777777777	-84858034515.38086	-1640820.513024	-264768.7646016	-5892037.296768	-8725028.477760002	-12789788.385024002	-38444716800.0
181.1875	-81935659217.83447	-1640820.513024	-264768.7646016	-5892037.296768	-8725028.477760002	-12789788.385024002	-38444716800.0
181.19097222222223	-79075581550.59814	-1642848.6666239998	-265096.0348416	-5899320.211967999	-8735813.141760001	-12805597.338624	-38492236800.0
181.19444444444446	-76290089035.03418	-1642848.6666239998	-265096.0348416	-5899320.211967999	-8735813.141760001	-12805597.338624	-38492236800.0
181.19791666666666	-73583445739.7461	-1642848.6666239998	-265096.0348416	-5899320.211967999	-8735813.141760001	-12805597.338624	-38492236800.0
181.20138888888889	-70896253395.08057	-1642848.6666239998	-265096.0348416	-5899320.211967999	-8735813.141760001	-12805597.338624	-38492236800.0
181.20486111111111	-68400686645.50781	-1642848.6666239998	-265096.0348416	-5899320.211967999	-8735813.141760001	-12805597.338624	-38492236800.0
181.20833333333334	-66050597763.06152	-1592038.914048	-256897.1884032	-5716867.009535999	-8264283.240959999	-11956458.594816	-38492236800.0
