;total_inflow;.t;.in_out_RZ
2024-09-01 05:55:00;0,1071411594748497;0,24305555555555555;0,1071411594748497
2024-09-01 06:00:00;0,10554856806993484;0,2465277777777778;0,10554856806993484
2024-09-01 06:05:00;0,10407350957393646;0,25;0,10407350957393646
2024-09-01 06:10:00;0,1027093231678009;0,2534722222222222;0,1027093231678009
2024-09-01 06:15:00;0,1014486625790596;0,2569444444444444;0,1014486625790596
2024-09-01 06:20:00;0,10028436779975891;0,2604166666666667;0,10028436779975891
2024-09-01 06:25:00;0,09921001642942429;0,2638888888888889;0,09921001642942429
2024-09-01 06:30:00;0,09822006523609161;0,2673611111111111;0,09822006523609161
2024-09-01 06:35:00;0,09730977565050125;0,2708333333333333;0,09730977565050125
2024-09-01 06:40:00;0,09647500514984131;0,2743055555555556;0,09647500514984131
2024-09-01 06:45:00;0,09571204334497452;0,2777777777777778;0,09571204334497452
2024-09-01 06:50:00;0,09501738846302032;0,28125;0,09501738846302032
2024-09-01 06:55:00;0,09438768774271011;0,2847222222222222;0,09438768774271011
2024-09-01 07:00:00;0,09381961077451706;0,2881944444444444;0,09381961077451706
2024-09-01 07:05:00;0,09330998361110687;0,2916666666666667;0,09330998361110687
2024-09-01 07:10:00;0,09285587817430496;0,2951388888888889;0,09285587817430496
2024-09-01 07:15:00;0,09245464205741882;0,2986111111111111;0,09245464205741882
2024-09-01 07:20:00;0,0921037420630455;0,3020833333333333;0,0921037420630455
2024-09-01 07:25:00;0,09180057793855667;0,3055555555555556;0,09180057793855667
2024-09-01 07:30:00;0,09154247492551804;0,3090277777777778;0,09154247492551804
2024-09-01 07:35:00;0,09132670611143112;0,3125;0,09132670611143112
2024-09-01 07:40:00;0,09115038067102432;0,3159722222222222;0,09115038067102432
2024-09-01 07:45:00;0,09101035445928574;0,3194444444444444;0,09101035445928574
2024-09-01 07:50:00;0,09090333431959152;0,3229166666666667;0,09090333431959152
2024-09-01 07:55:00;0,09082605689764023;0,3263888888888889;0,09082605689764023
2024-09-01 08:00:00;0,09077535569667816;0,3298611111111111;0,09077535569667816
2024-09-01 08:05:00;0,09074825793504715;0,3333333333333333;0,09074825793504715
2024-09-01 08:10:00;0,09074205160140991;0,3368055555555556;0,09074205160140991
2024-09-01 08:15:00;0,09075438231229782;0,3402777777777778;0,09075438231229782
2024-09-01 08:20:00;0,09078336507081985;0,34375;0,09078336507081985
2024-09-01 08:25:00;0,09082769602537155;0,3472222222222222;0,09082769602537155
2024-09-01 08:30:00;0,09088683128356934;0,3506944444444444;0,09088683128356934
2024-09-01 08:35:00;0,09096121042966843;0,3541666666666667;0,09096121042966843
