;total_inflow;.t;.in_out_RZ
2024-08-01 05:55:00;0,10263442248106003;0,24305555555555555;0,10263442248106003
2024-08-01 06:00:00;0,10062311589717865;0,2465277777777778;0,10062311589717865
2024-08-01 06:05:00;0,09872525930404663;0,25;0,09872525930404663
2024-08-01 06:10:00;0,09693673253059387;0,2534722222222222;0,09693673253059387
2024-08-01 06:15:00;0,09525153040885925;0,2569444444444444;0,09525153040885925
2024-08-01 06:20:00;0,09366289526224136;0,2604166666666667;0,09366289526224136
2024-08-01 06:25:00;0,09216361492872238;0,2638888888888889;0,09216361492872238
2024-08-01 06:30:00;0,09074674546718597;0,2673611111111111;0,09074674546718597
2024-08-01 06:35:00;0,08940575271844864;0,2708333333333333;0,08940575271844864
2024-08-01 06:40:00;0,08813466131687164;0,2743055555555556;0,08813466131687164
2024-08-01 06:45:00;0,08692809194326401;0,2777777777777778;0,08692809194326401
2024-08-01 06:50:00;0,08578122407197952;0,28125;0,08578122407197952
2024-08-01 06:55:00;0,08468975871801376;0,2847222222222222;0,08468975871801376
2024-08-01 07:00:00;0,0836498811841011;0,2881944444444444;0,0836498811841011
2024-08-01 07:05:00;0,08265820145606995;0,2916666666666667;0,08265820145606995
2024-08-01 07:10:00;0,08173268288373947;0,2951388888888889;0,08173268288373947
2024-08-01 07:15:00;0,08097198605537415;0,2986111111111111;0,08097198605537415
2024-08-01 07:20:00;0,08021587133407593;0,3020833333333333;0,08021587133407593
2024-08-01 07:25:00;0,07945015281438828;0,3055555555555556;0,07945015281438828
2024-08-01 07:30:00;0,07868971675634384;0,3090277777777778;0,07868971675634384
2024-08-01 07:35:00;0,0779438465833664;0,3125;0,0779438465833664
2024-08-01 07:40:00;0,07721757888793945;0,3159722222222222;0,07721757888793945
2024-08-01 07:45:00;0,07651329040527344;0,3194444444444444;0,07651329040527344
2024-08-01 07:50:00;0,0758318156003952;0,3229166666666667;0,0758318156003952
2024-08-01 07:55:00;0,075173519551754;0,3263888888888889;0,075173519551754
2024-08-01 08:00:00;0,07453817874193192;0,3298611111111111;0,07453817874193192
2024-08-01 08:05:00;0,07392586767673492;0,3333333333333333;0,07392586767673492
2024-08-01 08:10:00;0,07333634793758392;0,3368055555555556;0,07333634793758392
2024-08-01 08:15:00;0,07276958227157593;0,3402777777777778;0,07276958227157593
2024-08-01 08:20:00;0,07222546637058258;0,34375;0,07222546637058258
2024-08-01 08:25:00;0,07170388847589493;0,3472222222222222;0,07170388847589493
2024-08-01 08:30:00;0,07120461016893387;0,3506944444444444;0,07120461016893387
2024-08-01 08:35:00;0,07072732597589493;0,3541666666666667;0,07072732597589493
2024-08-01 08:40:00;0,07027149945497513;0,3576388888888889;0,07027149945497513
2024-08-01 08:45:00;0,0698365792632103;0,3611111111111111;0,0698365792632103
2024-08-01 08:50:00;0,06942209601402283;0,3645833333333333;0,06942209601402283
2024-08-01 08:55:00;0,06902748346328735;0,3680555555555556;0,06902748346328735
2024-08-01 09:00:00;0,06865226477384567;0,3715277777777778;0,06865226477384567
2024-08-01 09:05:00;0,06829602271318436;0,375;0,06829602271318436
2024-08-01 09:10:00;0,06795838475227356;0,3784722222222222;0,06795838475227356
2024-08-01 09:15:00;0,06763903051614761;0,3819444444444444;0,06763903051614761
2024-08-01 09:20:00;0,06733763217926025;0,3854166666666667;0,06733763217926025
2024-08-01 09:25:00;0,06705393642187119;0,3888888888888889;0,06705393642187119
2024-08-01 09:30:00;0,06678779423236847;0,3923611111111111;0,06678779423236847
2024-08-01 09:35:00;0,06653904914855957;0,3958333333333333;0,06653904914855957
2024-08-01 09:40:00;0,06630764156579971;0,3993055555555556;0,06630764156579971
