,total_inflow
2024-09-01 09:35:00,1.243246515514329e-06
2024-09-01 09:40:00,1.2561205267047626e-06
2024-09-01 09:45:00,1.2690582025243202e-06
2024-09-01 09:50:00,1.2820598840335151e-06
2024-09-01 09:55:00,1.2951254575455096e-06
2024-09-01 10:00:00,1.3082549230603036e-06
2024-09-01 10:05:00,1.3214483942647348e-06
2024-09-01 10:10:00,1.334705984845641e-06
2024-09-01 10:15:00,1.3480276948030223e-06
2024-09-01 10:20:00,1.3614135241368786e-06
2024-09-01 10:25:00,1.3748635865340475e-06
2024-09-01 10:30:00,1.3883778819945292e-06
2024-09-01 10:35:00,1.4019564105183235e-06
2024-09-01 10:40:00,1.415599399479106e-06
2024-09-01 10:45:00,1.4293066215032013e-06
2024-09-01 10:50:00,1.4430784176511224e-06
2024-09-01 10:55:00,1.4569146742360317e-06
2024-09-01 11:00:00,1.4708155049447669e-06
2024-09-01 11:05:00,1.484780909777328e-06
2024-09-01 11:10:00,1.4988110024205525e-06
2024-09-01 11:15:00,1.5129057828744408e-06
2024-09-01 11:20:00,1.5270652511389926e-06
2024-09-01 11:25:00,1.5412895209010458e-06
2024-09-01 11:30:00,1.555578705847438e-06
2024-09-01 11:35:00,1.5699328059781692e-06
2024-09-01 11:40:00,1.5843518212932395e-06
2024-09-01 11:45:00,1.5988358654794865e-06
2024-09-01 11:50:00,1.613385052223748e-06
2024-09-01 11:55:00,1.6279992678391864e-06
2024-09-01 12:00:00,1.6426786260126391e-06
2024-09-01 12:05:00,1.6574233541177819e-06
2024-09-01 12:10:00,1.672233224780939e-06
2024-09-01 12:15:00,1.687108579062624e-06
2024-09-01 12:20:00,1.702049189589161e-06
2024-09-01 12:25:00,1.7170553974210634e-06
2024-09-01 12:30:00,1.7321269751846557e-06
2024-09-01 12:35:00,1.7472641502536135e-06
2024-09-01 12:40:00,1.7624670363147743e-06
2024-09-01 12:45:00,1.7777355196813005e-06
2024-09-01 12:50:00,1.7930697140400298e-06
2024-09-01 12:55:00,1.8084698467646376e-06
2024-09-01 13:00:00,1.8239356904814485e-06
2024-09-01 13:05:00,1.839467472564138e-06
2024-09-01 13:10:00,1.855065193012706e-06
2024-09-01 13:15:00,1.8707289655139903e-06
2024-09-01 13:20:00,1.8864587900679908e-06
2024-09-01 13:25:00,1.9022547803615453e-06
2024-09-01 13:30:00,1.9181170500814915e-06
2024-09-01 13:35:00,1.9340454855409916e-06
2024-09-01 13:40:00,1.950040086740046e-06
2024-09-01 13:45:00,1.966101308426005e-06
