;H2O_sew;NH4_sew;PO4_sew;COD_sol;X_TSS_sew;COD_part
182,00347222222223;36802,91862487793;0;0;0;0;0
182,00694444444446;11532,948589324951;0;0;0;0;0
182,01041666666666;11532,948589324951;0;0;0;0;0
182,01388888888889;11532,948589324951;0;0;0;0;0
182,01736111111111;11532,948589324951;0;0;0;0;0
182,02083333333334;11532,948589324951;0;0;0;0;0
182,02430555555554;11532,948589324951;0;0;0;0;0
182,02777777777777;23867,85879135132;0;0;0;0;0
182,03125;23867,85879135132;0;0;0;0;0
182,03472222222223;23867,85879135132;0;0;0;0;0
182,03819444444446;23867,85879135132;0;0;0;0;0
182,04166666666666;23867,85879135132;0;0;0;0;0
182,04513888888889;23867,85879135132;0;0;0;0;0
182,04861111111111;23867,85879135132;0;0;0;0;0
182,05208333333334;18602,171802520752;0;0;0;0;0
182,05555555555554;17366,512441635132;0;0;0;0;0
182,05902777777777;16281,102275848389;0;0;0;0;0
182,0625;15383,670330047607;0;0;0;0;0
182,06597222222223;14725,42405128479;0;0;0;0;0
182,06944444444446;14411,892700195312;0;0;0;0;0
182,07291666666666;14678,731727600098;0;0;0;0;0
182,07638888888889;15801,511716842651;0;0;0;0;0
182,07986111111111;18649,339199066162;0;0;0;0;0
182,08333333333334;23867,85879135132;0;0;0;0;0
182,08680555555554;23867,85879135132;0;0;0;0;0
182,09027777777777;23867,85879135132;0;0;0;0;0
182,09375;23867,85879135132;0;0;0;0;0
182,09722222222223;23867,85879135132;0;0;0;0;0
182,10069444444446;23867,85879135132;0;0;0;0;0
182,10416666666666;23867,85879135132;0;0;0;0;0
182,10763888888889;23867,85879135132;0;0;0;0;0
182,11111111111111;23867,85879135132;0;0;0;0;0
182,11458333333334;23867,85879135132;0;0;0;0;0
182,11805555555554;23867,85879135132;0;0;0;0;0
182,12152777777777;23867,85879135132;0;0;0;0;0
182,125;23867,85879135132;0;0;0;0;0
182,12847222222223;23867,85879135132;0;0;0;0;0
182,13194444444446;23867,85879135132;0;0;0;0;0
182,13541666666666;23867,85879135132;0;0;0;0;0
182,13888888888889;23867,85879135132;0;0;0;0;0
182,14236111111111;23867,85879135132;0;0;0;0;0
182,14583333333334;23867,85879135132;0;0;0;0;0
182,14930555555554;23867,85879135132;0;0;0;0;0
182,15277777777777;23867,85879135132;0;0;0;0;0
182,15625;23867,85879135132;0;0;0;0;0
182,15972222222223;23867,85879135132;0;0;0;0;0
182,16319444444446;23867,85879135132;0;0;0;0;0
182,16666666666666;23867,85879135132;0;0;0;0;0
182,17013888888889;23867,85879135132;0;0;0;0;0
182,17361111111111;23867,85879135132;0;0;0;0;0
182,17708333333334;23867,85879135132;0;0;0;0;0
182,18055555555554;23867,85879135132;0;0;0;0;0
182,18402777777777;23867,85879135132;0;0;0;0;0
182,1875;23867,85879135132;0;0;0;0;0
182,19097222222223;23867,85879135132;0;0;0;0;0
182,19444444444446;23867,85879135132;0;0;0;0;0
182,19791666666666;23900,784301757812;0;0;0;0;0
182,20138888888889;23867,85879135132;0;0;0;0;0
182,20486111111111;23898,46429824829;0;0;0;0;0
182,20833333333334;24032,053756713867;0;0;0;0;0
182,21180555555554;24062,870407104492;0;0;0;0;0
182,21527777777777;24034,190940856934;0;0;0;0;0
182,21875;24131,64653778076;0;0;0;0;0
182,22222222222223;24178,229427337646;0;0;0;0;0
182,22569444444446;24181,800842285156;0;0;0;0;0
182,22916666666666;24200,340270996094;0;0;0;0;0
182,23263888888889;24282,62701034546;0;0;0;0;0
182,23611111111111;24283,752250671387;0;0;0;0;0
182,23958333333334;24272,46379852295;0;0;0;0;0
182,24305555555554;24365,58837890625;0;0;0;0;0
182,24652777777777;24378,146266937256;0;0;0;0;0
182,25;24339,800548553467;0;0;0;0;0
182,25347222222223;24405,901336669922;0;0;0;0;0
182,25694444444446;24431,933784484863;0;0;0;0;0
182,26041666666666;24407,088375091553;0;0;0;0;0
182,26388888888889;24459,763526916504;0;0;0;0;0
182,26736111111111;24466,37077331543;0;0;0;0;0
182,27083333333334;24446,989345550537;0;0;0;0;0
182,27430555555554;24504,77056503296;0;0;0;0;0
182,27777777777777;24507,24506378174;0;0;0;0;0
182,28125;24491,280555725098;0;0;0;0;0
182,28472222222223;24541,527557373047;0;0;0;0;0
182,28819444444446;24529,942989349365;0;0;0;0;0
182,29166666666666;24552,42462158203;0;0;0;0;0
182,29513888888889;24589,755821228027;0;0;0;0;0
182,29861111111111;24532,08532333374;0;0;0;0;0
182,30208333333334;24630,269622802734;0;0;0;0;0
182,30555555555554;24605,735778808594;0;0;0;0;0
182,30902777777777;24568,054389953613;0;0;0;0;0
182,3125;24707,581615447998;0;0;0;0;0
182,31597222222223;24595,783710479736;0;0;0;0;0
182,31944444444446;24663,421726226807;0;0;0;0;0
182,32291666666666;24747,500610351562;0;0;0;0;0
182,32638888888889;24610,84442138672;0;0;0;0;0
182,32986111111111;24801,308727264404;0;0;0;0;0
182,33333333333334;24668,831634521484;0;0;0;0;0
182,33680555555554;24798,92177581787;0;0;0;0;0
182,34027777777777;24767,677688598633;0;0;0;0;0
182,34375;24776,177501678467;0;0;0;0;0
182,34722222222223;24869,16561126709;0;0;0;0;0
182,35069444444446;24789,2014503479;0;0;0;0;0
182,35416666666666;24910,050201416016;0;0;0;0;0
182,35763888888889;24881,06689453125;0;0;0;0;0
182,36111111111111;24904,3776512146;0;0;0;0;0
182,36458333333334;24983,219146728516;0;0;0;0;0
182,36805555555554;24923,71015548706;0;0;0;0;0
182,37152777777777;25044,17781829834;0;0;0;0;0
182,375;25004,32834625244;0;0;0;0;0
182,37847222222223;25063,685417175293;0;0;0;0;0
182,38194444444446;25108,996295928955;0;0;0;0;0
182,38541666666666;25073,84090423584;0;0;0;0;0
182,38888888888889;25189,768981933594;0;0;0;0;0
182,39236111111111;25124,991703033447;0;0;0;0;0
182,39583333333334;25263,16967010498;0;0;0;0;0
182,39930555555554;25211,305618286133;0;0;0;0;0
182,40277777777777;25313,056182861328;0;0;0;0;0
182,40625;25323,857975006104;0;0;0;0;0
182,40972222222223;25347,14813232422;0;0;0;0;0
182,41319444444446;25439,240169525146;0;0;0;0;0
182,41666666666666;25402,959537506104;0;0;0;0;0
182,42013888888889;25538,51366043091;0;0;0;0;0
182,42361111111111;25481,347846984863;0;0;0;0;0
182,42708333333334;25614,71586227417;0;0;0;0;0
182,43055555555554;25636,352920532227;0;0;0;0;0
182,43402777777777;25707,446479797363;0;0;0;0;0
182,4375;25715,94114303589;0;0;0;0;0
182,44097222222223;25788,141918182373;0;0;0;0;0
182,44444444444446;25824,038887023926;0;0;0;0;0
182,44791666666666;25873,044776916504;0;0;0;0;0
182,45138888888889;25917,619228363037;0;0;0;0;0
182,45486111111111;25967,34609603882;0;0;0;0;0
182,45833333333334;26006,768131256104;0;0;0;0;0
182,46180555555554;26055,207538604736;0;0;0;0;0
182,46527777777777;26091,861534118652;0;0;0;0;0
182,46875;26171,143341064453;0;0;0;0;0
182,47222222222223;26197,75514602661;0;0;0;0;0
182,47569444444446;26236,548900604248;0;0;0;0;0
182,47916666666666;26288,291931152344;0;0;0;0;0
182,48263888888889;26332,768535614014;0;0;0;0;0
182,48611111111111;26369,95038986206;0;0;0;0;0
182,48958333333334;26418,186378479004;0;0;0;0;0
182,49305555555554;26447,64347076416;0;0;0;0;0
182,49652777777777;26492,972373962402;0;0;0;0;0
182,5;26527,466011047363;0;0;0;0;0
182,50347222222223;26586,864280700684;0;0;0;0;0
182,50694444444446;26624,46584701538;0;0;0;0;0
182,51041666666666;26666,246509552002;0;0;0;0;0
182,51388888888889;26702,76918411255;0;0;0;0;0
182,51736111111111;26744,655418395996;0;0;0;0;0
182,52083333333334;26786,39488220215;0;0;0;0;0
182,52430555555554;26823,679733276367;0;0;0;0;0
182,52777777777777;26875,664806365967;0;0;0;0;0
182,53125;26904,977703094482;0;0;0;0;0
182,53472222222223;26955,0856590271;0;0;0;0;0
182,53819444444446;26990,408420562744;0;0;0;0;0
182,54166666666666;27047,242069244385;0;0;0;0;0
182,54513888888889;27075,43487548828;0;0;0;0;0
182,54861111111111;27129,73222732544;0;0;0;0;0
182,55208333333334;27161,54022216797;0;0;0;0;0
182,55555555555554;27211,43445968628;0;0;0;0;0
182,55902777777777;27250,078868865967;0;0;0;0;0
182,5625;27298,397254943848;0;0;0;0;0
182,56597222222223;27347,593688964844;0;0;0;0;0
182,56944444444446;27406,13193511963;0;0;0;0;0
182,57291666666666;27448,58980178833;0;0;0;0;0
182,57638888888889;27503,981494903564;0;0;0;0;0
182,57986111111111;27544,59571838379;0;0;0;0;0
182,58333333333334;27599,843215942383;0;0;0;0;0
182,58680555555554;27646,202087402344;0;0;0;0;0
182,59027777777777;27698,642921447754;0;0;0;0;0
182,59375;27752,713680267334;0;0;0;0;0
182,59722222222223;27801,24578475952;0;0;0;0;0
182,60069444444446;27867,5705909729;0;0;0;0;0
182,60416666666666;27914,938831329346;0;0;0;0;0
182,60763888888889;27962,860679626465;0;0;0;0;0
182,61111111111111;28009,052181243896;0;0;0;0;0
182,61458333333334;28083,825302124023;0;0;0;0;0
182,61805555555554;28156,265544891357;0;0;0;0;0
182,62152777777777;28184,710693359375;0;0;0;0;0
182,625;28228,93238067627;0;0;0;0;0
182,62847222222223;28268,02225112915;0;0;0;0;0
182,63194444444446;28328,26509475708;0;0;0;0;0
182,63541666666666;28387,90798187256;0;0;0;0;0
182,63888888888889;28444,757080078125;0;0;0;0;0
182,64236111111111;28492,56820678711;0;0;0;0;0
182,64583333333334;28536,099815368652;0;0;0;0;0
182,64930555555554;28577,21357345581;0;0;0;0;0
182,65277777777777;28622,153663635254;0;0;0;0;0
182,65625;28666,38307571411;0;0;0;0;0
182,65972222222223;28716,48073196411;0;0;0;0;0
182,66319444444446;28762,453365325928;0;0;0;0;0
182,66666666666666;28801,45311355591;0;0;0;0;0
182,67013888888889;28862,998867034912;0;0;0;0;0
