;total_inflow;.t;.in_out_ES
2024-08-01 05:30:00;0,0006232825107872486;0,22569444444444445;0,0006232825107872486
2024-08-01 05:35:00;0,0006410748464986682;0,22916666666666666;0,0006410748464986682
2024-08-01 05:40:00;0,0006591653218492866;0,2326388888888889;0,0006591653218492866
2024-08-01 05:45:00;0,0006775558576919138;0,2361111111111111;0,0006775558576919138
2024-08-01 05:50:00;0,0006962484330870211;0,23958333333333334;0,0006962484330870211
2024-08-01 05:55:00;0,000715244619641453;0,24305555555555555;0,000715244619641453
2024-08-01 06:00:00;0,0007345469202846289;0,2465277777777778;0,0007345469202846289
2024-08-01 06:05:00;0,0007539832149632275;0,25;0,0007539832149632275
2024-08-01 06:10:00;0,0007737146224826574;0,2534722222222222;0,0007737146224826574
2024-08-01 06:15:00;0,0007937480695545673;0,2569444444444444;0,0007937480695545673
2024-08-01 06:20:00;0,0008140880963765085;0,2604166666666667;0,0008140880963765085
2024-08-01 06:25:00;0,0008347365073859692;0,2638888888888889;0,0008347365073859692
2024-08-01 06:30:00;0,000855694932397455;0,2673611111111111;0,000855694932397455
2024-08-01 06:35:00;0,0008769650594331324;0,2708333333333333;0,0008769650594331324
2024-08-01 06:40:00;0,0008985486347228289;0,2743055555555556;0,0008985486347228289
2024-08-01 06:45:00;0,0009204473462887108;0,2777777777777778;0,0009204473462887108
2024-08-01 06:50:00;0,0009426628821529448;0,28125;0,0009426628821529448
2024-08-01 06:55:00;0,0009651969303376973;0,2847222222222222;0,0009651969303376973
2024-08-01 07:00:00;0,0009880511788651347;0,2881944444444444;0,0009880511788651347
2024-08-01 07:05:00;0,001012953813187778;0,2916666666666667;0,001012953813187778
2024-08-01 07:10:00;0,0010383152402937412;0,2951388888888889;0,0010383152402937412
2024-08-01 07:15:00;0,0010640547843649983;0,2986111111111111;0,0010640547843649983
2024-08-01 07:20:00;0,0010901745408773422;0,3020833333333333;0,0010901745408773422
2024-08-01 07:25:00;0,0011166766053065658;0,3055555555555556;0,0011166766053065658
2024-08-01 07:30:00;0,0011435630731284618;0,3090277777777778;0,0011435630731284618
2024-08-01 07:35:00;0,0011708359234035015;0,3125;0,0011708359234035015
2024-08-01 07:40:00;0,0011984974844381213;0,3159722222222222;0,0011984974844381213
2024-08-01 07:45:00;0,0012265495024621487;0,3194444444444444;0,0012265495024621487
2024-08-01 07:50:00;0,001254994422197342;0,3229166666666667;0,001254994422197342
2024-08-01 07:55:00;0,0012843016302213073;0,3263888888888889;0,0012843016302213073
2024-08-01 08:00:00;0,0013153917388990521;0,3298611111111111;0,0013153917388990521
2024-08-01 08:05:00;0,0013449303805828094;0,3333333333333333;0,0013449303805828094
2024-08-01 08:10:00;0,0013747008051723242;0,3368055555555556;0,0013747008051723242
2024-08-01 08:15:00;0,0014047905569896102;0,3402777777777778;0,0014047905569896102
2024-08-01 08:20:00;0,0014351998688653111;0,34375;0,0014351998688653111
2024-08-01 08:25:00;0,0014659286243841052;0,3472222222222222;0,0014659286243841052
2024-08-01 08:30:00;0,0014969769399613142;0,3506944444444444;0,0014969769399613142
2024-08-01 08:35:00;0,0015283448155969381;0,3541666666666667;0,0015283448155969381
2024-08-01 08:40:00;0,0015600323677062988;0,3576388888888889;0,0015600323677062988
2024-08-01 08:45:00;0,0015920394798740745;0,3611111111111111;0,0015920394798740745
2024-08-01 08:50:00;0,0016243660356849432;0,3645833333333333;0,0016243660356849432
2024-08-01 08:55:00;0,0016570121515542269;0,3680555555555556;0,0016570121515542269
2024-08-01 09:00:00;0,0016896834131330252;0,3715277777777778;0,0016896834131330252
2024-08-01 09:05:00;0,001722654327750206;0,375;0,001722654327750206
2024-08-01 09:10:00;0,001755938632413745;0,3784722222222222;0,001755938632413745
2024-08-01 09:15:00;0,0017895364435389638;0,3819444444444444;0,0017895364435389638
