;total_inflow;.t;.in_out_ES
2024-09-01 05:30:00;0,001006327336654067;0,22569444444444445;0,001006327336654067
2024-09-01 05:35:00;0,0010463446378707886;0,22916666666666666;0,0010463446378707886
2024-09-01 05:40:00;0,0010873068822547793;0,2326388888888889;0,0010873068822547793
2024-09-01 05:45:00;0,0011292226845398545;0,2361111111111111;0,0011292226845398545
2024-09-01 05:50:00;0,0011721003102138638;0,23958333333333334;0,0011721003102138638
2024-09-01 05:55:00;0,0012159483740106225;0,24305555555555555;0,0012159483740106225
2024-09-01 06:00:00;0,0012607750250026584;0,2465277777777778;0,0012607750250026584
2024-09-01 06:05:00;0,0013085565296933055;0,25;0,0013085565296933055
2024-09-01 06:10:00;0,0013582276878878474;0,2534722222222222;0,0013582276878878474
2024-09-01 06:15:00;0,0014088103780522943;0,2569444444444444;0,0014088103780522943
2024-09-01 06:20:00;0,0014603050658479333;0,2604166666666667;0,0014603050658479333
2024-09-01 06:25:00;0,00151271210052073;0,2638888888888889;0,00151271210052073
2024-09-01 06:30:00;0,0015660321805626154;0,2673611111111111;0,0015660321805626154
2024-09-01 06:35:00;0,0016202654223889112;0,2708333333333333;0,0016202654223889112
2024-09-01 06:40:00;0,001675412175245583;0,2743055555555556;0,001675412175245583
2024-09-01 06:45:00;0,0017314729047939181;0,2777777777777778;0,0017314729047939181
2024-09-01 06:50:00;0,0017884477274492383;0,28125;0,0017884477274492383
2024-09-01 06:55:00;0,0018463368760421872;0,2847222222222222;0,0018463368760421872
2024-09-01 07:00:00;0,0019051404669880867;0,2881944444444444;0,0019051404669880867
2024-09-01 07:05:00;0,0019648585002869368;0,2916666666666667;0,0019648585002869368
2024-09-01 07:10:00;0,002025491325184703;0,2951388888888889;0,002025491325184703
2024-09-01 07:15:00;0,002087038941681385;0,2986111111111111;0,002087038941681385
2024-09-01 07:20:00;0,002149500884115696;0,3020833333333333;0,002149500884115696
2024-09-01 07:25:00;0,002212877618148923;0,3055555555555556;0,002212877618148923
2024-09-01 07:30:00;0,0022771689109504223;0,3090277777777778;0,0022771689109504223
2024-09-01 07:35:00;0,0023423368111252785;0,3125;0,0023423368111252785
2024-09-01 07:40:00;0,0024083496537059546;0,3159722222222222;0,0024083496537059546
2024-09-01 07:45:00;0,0024752707686275244;0,3194444444444444;0,0024752707686275244
2024-09-01 07:50:00;0,0025431003887206316;0,3229166666666667;0,0025431003887206316
2024-09-01 07:55:00;0,002611838048323989;0,3263888888888889;0,002611838048323989
2024-09-01 08:00:00;0,002681483281776309;0,3298611111111111;0,002681483281776309
2024-09-01 08:05:00;0,0027520356234163046;0,3333333333333333;0,0027520356234163046
2024-09-01 08:10:00;0,002823494840413332;0,3368055555555556;0,002823494840413332
2024-09-01 08:15:00;0,0028958600014448166;0,3402777777777778;0,0028958600014448166
2024-09-01 08:20:00;0,0029691308736801147;0,34375;0,0029691308736801147
2024-09-01 08:25:00;0,0030433067586272955;0,3472222222222222;0,0030433067586272955
2024-09-01 08:30:00;0,0031183871906250715;0,3506944444444444;0,0031183871906250715
2024-09-01 08:35:00;0,003194371471181512;0,3541666666666667;0,003194371471181512
2024-09-01 08:40:00;0,0032712589018046856;0,3576388888888889;0,0032712589018046856
