;H2O_sew;NH4_sew;PO4_sew;COD_sol;X_TSS_sew;COD_part
182,00347222222223;37449,02286529541;0;0;0;0;0
182,00694444444446;45083,518409729004;0;0;0;0;0
182,01041666666666;45083,518409729004;0;0;0;0;0
182,01388888888889;45083,518409729004;0;0;0;0;0
182,01736111111111;45083,518409729004;0;0;0;0;0
182,02083333333334;45083,518409729004;0;0;0;0;0
182,02430555555554;45083,518409729004;0;0;0;0;0
182,02777777777777;28323,954677581787;0;0;0;0;0
182,03125;26864,126586914062;0;0;0;0;0
182,03472222222223;25571,153354644775;0;0;0;0;0
182,03819444444446;24244,66495513916;0;0;0;0;0
182,04166666666666;22842,121124267578;0;0;0;0;0
182,04513888888889;21400,929021835327;0;0;0;0;0
182,04861111111111;19979,092597961426;0;0;0;0;0
182,05208333333334;18629,518747329712;0;0;0;0;0
182,05555555555554;17394,661474227905;0;0;0;0;0
182,05902777777777;16311,137437820435;0;0;0;0;0
182,0625;15416,252088546753;0;0;0;0;0
182,06597222222223;14761,27724647522;0;0;0;0;0
182,06944444444446;14452,443838119507;0;0;0;0;0
182,07291666666666;14723,223781585693;0;0;0;0;0
182,07638888888889;15852,340650558472;0;0;0;0;0
182,07986111111111;18713,130283355713;0;0;0;0;0
182,08333333333334;24519,74115371704;0;0;0;0;0
182,08680555555554;34350,61569213867;0;0;0;0;0
182,09027777777777;45083,518409729004;0;0;0;0;0
182,09375;45083,518409729004;0;0;0;0;0
182,09722222222223;45083,518409729004;0;0;0;0;0
182,10069444444446;45083,518409729004;0;0;0;0;0
182,10416666666666;45083,518409729004;0;0;0;0;0
182,10763888888889;45083,518409729004;0;0;0;0;0
182,11111111111111;45083,518409729004;0;0;0;0;0
182,11458333333334;45083,518409729004;0;0;0;0;0
182,11805555555554;45083,518409729004;0;0;0;0;0
182,12152777777777;45083,518409729004;0;0;0;0;0
182,125;45083,518409729004;0;0;0;0;0
182,12847222222223;45083,518409729004;0;0;0;0;0
182,13194444444446;45083,518409729004;0;0;0;0;0
182,13541666666666;45083,518409729004;0;0;0;0;0
182,13888888888889;45083,518409729004;0;0;0;0;0
182,14236111111111;45083,518409729004;0;0;0;0;0
182,14583333333334;45083,518409729004;0;0;0;0;0
182,14930555555554;45083,518409729004;0;0;0;0;0
182,15277777777777;45083,518409729004;0;0;0;0;0
182,15625;45083,518409729004;0;0;0;0;0
182,15972222222223;45083,518409729004;0;0;0;0;0
182,16319444444446;45083,518409729004;0;0;0;0;0
182,16666666666666;45083,518409729004;0;0;0;0;0
182,17013888888889;45083,518409729004;0;0;0;0;0
182,17361111111111;45083,518409729004;0;0;0;0;0
182,17708333333334;45083,518409729004;0;0;0;0;0
182,18055555555554;45083,518409729004;0;0;0;0;0
182,18402777777777;45083,518409729004;0;0;0;0;0
182,1875;45083,518409729004;0;0;0;0;0
182,19097222222223;45083,518409729004;0;0;0;0;0
182,19444444444446;45083,518409729004;0;0;0;0;0
182,19791666666666;45083,518409729004;0;0;0;0;0
182,20138888888889;45083,518409729004;0;0;0;0;0
182,20486111111111;45083,518409729004;0;0;0;0;0
182,20833333333334;45083,518409729004;0;0;0;0;0
182,21180555555554;45083,518409729004;0;0;0;0;0
182,21527777777777;45083,518409729004;0;0;0;0;0
182,21875;45083,518409729004;0;0;0;0;0
182,22222222222223;45083,518409729004;0;0;0;0;0
182,22569444444446;45083,518409729004;0;0;0;0;0
182,22916666666666;45083,518409729004;0;0;0;0;0
182,23263888888889;45083,518409729004;0;0;0;0;0
182,23611111111111;45083,518409729004;0;0;0;0;0
182,23958333333334;45083,518409729004;0;0;0;0;0
182,24305555555554;45083,518409729004;0;0;0;0;0
182,24652777777777;45083,518409729004;0;0;0;0;0
182,25;45083,518409729004;0;0;0;0;0
182,25347222222223;45083,518409729004;0;0;0;0;0
182,25694444444446;45083,518409729004;0;0;0;0;0
182,26041666666666;45083,518409729004;0;0;0;0;0
182,26388888888889;45083,518409729004;0;0;0;0;0
182,26736111111111;45083,518409729004;0;0;0;0;0
182,27083333333334;45083,518409729004;0;0;0;0;0
182,27430555555554;45083,518409729004;0;0;0;0;0
182,27777777777777;45083,518409729004;0;0;0;0;0
182,28125;45083,518409729004;0;0;0;0;0
182,28472222222223;45083,518409729004;0;0;0;0;0
182,28819444444446;45083,518409729004;0;0;0;0;0
182,29166666666666;45083,518409729004;0;0;0;0;0
182,29513888888889;45083,518409729004;0;0;0;0;0
182,29861111111111;45083,518409729004;0;0;0;0;0
182,30208333333334;45083,518409729004;0;0;0;0;0
182,30555555555554;45083,518409729004;0;0;0;0;0
182,30902777777777;45083,518409729004;0;0;0;0;0
182,3125;45083,518409729004;0;0;0;0;0
