;H2O_sew;NH4_sew;PO4_sew;COD_sol;X_TSS_sew;COD_part;FD
2023-07-01 03:30:00;-109670320129,39453;-1058285,9485439998;-170768,86896959995;-3800208,6334079984;-5823488,105279998;-8668907,074367998;0,0006895868310417
2023-07-01 03:35:00;-108426200866,69922;-1058285,9485439998;-170768,86896959995;-3800208,6334079984;-5823488,105279998;-8668907,074367998;0,0006865162638939
2023-07-01 03:40:00;-106977107620,23926;-1058285,9485439998;-170768,86896959995;-3800208,6334079984;-5823488,105279998;-8668907,074367998;0,0006914811655402
2023-07-01 03:45:00;-105427231979,37012;-1058285,9485439998;-170768,86896959995;-3800208,6334079984;-5823488,105279998;-8668907,074367998;0,0006884105983925
2023-07-01 03:50:00;-103808822250,36621;-1058285,9485439998;-170768,86896959995;-3800208,6334079984;-5823488,105279998;-8668907,074367998;0,0006853400312447
2023-07-01 03:55:00;-101769536590,57617;-1058285,9485439998;-170768,86896959995;-3800208,6334079984;-5823488,105279998;-8668907,074367998;0,000690304932891
2023-07-01 04:00:00;-99430653762,81738;-1036906,4344319996;-167318,99282879994;-3723436,741823999;-5513728,099679998;-8082428,130431998;0,0006872343657432
2023-07-01 04:05:00;-96743147277,83203;-1036906,4344319996;-167318,99282879994;-3723436,741823999;-5513728,099679998;-8082428,130431998;0,0006921992673895
2023-07-01 04:10:00;-93855888748,16895;-1632984,465024;-263504,3114016;-5863898,760768;-8683360,45776;-12728708,337024;0,0006043511957417
2023-07-01 04:15:00;-90872729873,65723;-1637944,222464;-264304,6358976;-5881708,798848;-8709733,86336;-12767368,414464;0,0007770547207848
2023-07-01 04:20:00;-87855324554,44336;-1640820,513024;-264768,7646016;-5892037,296768;-8725028,477760002;-12789788,385024002;0,0004208387531843
2023-07-01 04:25:00;-84858034515,38086;-1640820,513024;-264768,7646016;-5892037,296768;-8725028,477760002;-12789788,385024002;0,0011494157995315
2023-07-01 04:30:00;-81935659217,83447;-1640820,513024;-264768,7646016;-5892037,296768;-8725028,477760002;-12789788,385024002;0,000757044949104
2023-07-01 04:35:00;-79075581550,59814;-1642848,6666239998;-265096,0348416;-5899320,211967999;-8735813,141760001;-12805597,338624;0,0004701317486883
2023-07-01 04:40:00;-76290089035,03418;-1642848,6666239998;-265096,0348416;-5899320,211967999;-8735813,141760001;-12805597,338624;0,0010470347765987
2023-07-01 04:45:00;-73583445739,7461;-1642848,6666239998;-265096,0348416;-5899320,211967999;-8735813,141760001;-12805597,338624;0,0006556638148221
2023-07-01 04:50:00;-70896253395,08057;-1642848,6666239998;-265096,0348416;-5899320,211967999;-8735813,141760001;-12805597,338624;0,0006821372303378
