;H2O_sew;NH4_sew;PO4_sew;COD_sol;X_TSS_sew;COD_part
182,00347222222223;0,0;0;0;0;0;0
182,00694444444446;110,01993231475353;0;0;0;0;0
182,01041666666666;164,78330455720425;0;0;0;0;0
182,01388888888889;219,3931169807911;0;0;0;0;0
182,01736111111111;273,8497920334339;0;0;0;0;0
182,02083333333334;328,15376222133636;0;0;0;0;0
182,02430555555554;382,3054701089859;0;0;0;0;0
182,02777777777777;436,30529791116714;0;0;0;0;0
182,03125;490,15368819236755;0;0;0;0;0
182,03472222222223;543,8511237502098;0;0;0;0;0
182,03819444444446;597,3979666829109;0;0;0;0;0
182,04166666666666;650,7946595549583;0;0;0;0;0
182,04513888888889;704,0416449308395;0;0;0;0;0
182,04861111111111;757,1392446756363;0;0;0;0;0
182,05208333333334;810,088062286377;0;0;0;0;0
182,05555555555554;862,8883391618729;0;0;0;0;0
182,05902777777777;915,5405580997467;0;0;0;0;0
182,0625;968,0451214313507;0;0;0;0;0
182,06597222222223;1020,4025119543076;0;0;0;0;0
182,06944444444446;1072,613051533699;0;0;0;0;0
182,07291666666666;1124,6771425008774;0;0;0;0;0
182,07638888888889;1176,5952676534653;0;0;0;0;0
182,07986111111111;1228,367829322815;0;0;0;0;0
182,08333333333334;1279,9951493740082;0;0;0;0;0
182,08680555555554;1331,477791070938;0;0;0;0;0
182,09027777777777;1382,8160762786865;0;0;0;0;0
182,09375;1434,0103268623352;0;0;0;0;0
182,09722222222223;1485,0610256195068;0;0;0;0;0
182,10069444444446;1535,9684944152832;0;0;0;0;0
182,10416666666666;1586,7333769798279;0;0;0;0;0
182,10763888888889;1637,3558342456818;0;0;0;0;0
182,11111111111111;1687,8363490104675;0;0;0;0;0
182,11458333333334;1738,175243139267;0;0;0;0;0
182,11805555555554;1788,3731603622437;0;0;0;0;0
182,12152777777777;1838,4301006793976;0;0;0;0;0
182,125;1888,3468687534332;0;0;0;0;0
182,12847222222223;1938,1234645843506;0;0;0;0;0
182,13194444444446;2000,7716059684753;0;0;0;0;0
182,13541666666666;2063,2874608039856;0;0;0;0;0
182,13888888888889;2125,627899169922;0;0;0;0;0
182,14236111111111;2187,7937257289886;0;0;0;0;0
182,14583333333334;2249,785101413727;0;0;0;0;0
182,14930555555554;2311,6026699543;0;0;0;0;0
182,15277777777777;2373,2469141483307;0;0;0;0;0
182,15625;2434,7183167934418;0;0;0;0;0
182,15972222222223;2496,017199754715;0;0;0;0;0
182,16319444444446;2557,1443676948547;0;0;0;0;0
182,16666666666666;2618,100142478943;0;0;0;0;0
182,17013888888889;2678,884845972061;0;0;0;0;0
182,17361111111111;2778,531861305237;0;0;0;0;0
182,17708333333334;2878,354775905609;0;0;0;0;0
182,18055555555554;2978,0872464179993;0;0;0;0;0
182,18402777777777;3077,54065990448;0;0;0;0;0
182,1875;3176,7150163650513;0;0;0;0;0
182,19097222222223;3275,7442116737366;0;0;0;0;0
182,19444444444446;3374,496281147003;0;0;0;0;0
182,19791666666666;3472,971224784851;0;0;0;0;0
182,20138888888889;3571,1703300476074;0;0;0;0;0
182,20486111111111;3669,093596935272;0;0;0;0;0
182,20833333333334;3766,7426347732544;0;0;0;0;0
182,21180555555554;3864,1177654266357;0;0;0;0;0
182,21527777777777;4000,252854824066;0;0;0;0;0
182,21875;4136,785769462585;0;0;0;0;0
182,22222222222223;4273,314821720123;0;0;0;0;0
182,22569444444446;4409,462463855743;0;0;0;0;0
182,22916666666666;4545,228052139282;0;0;0;0;0
182,23263888888889;4680,878734588623;0;0;0;0;0
182,23611111111111;4816,149938106537;0;0;0;0;0
182,23958333333334;4951,041662693024;0;0;0;0;0
182,24305555555554;5085,555195808411;0;0;0;0;0
182,24652777777777;5219,691824913025;0;0;0;0;0
182,25;5353,451871871948;0;0;0;0;0
182,25347222222223;5486,837267875671;0;0;0;0;0
182,25694444444446;5645,870161056519;0;0;0;0;0
182,26041666666666;5804,738903045654;0;0;0;0;0
182,26388888888889;5963,276124000549;0;0;0;0;0
182,26736111111111;6121,368527412415;0;0;0;0;0
182,27083333333334;6279,018044471741;0;0;0;0;0
182,27430555555554;6436,305141448975;0;0;0;0;0
182,27777777777777;6593,151926994324;0;0;0;0;0
182,28125;6749,558401107788;0;0;0;0;0
182,28472222222223;6905,526494979858;0;0;0;0;0
182,28819444444446;7061,056852340698;0;0;0;0;0
182,29166666666666;7216,151404380798;0;0;0;0;0
182,29513888888889;7371,406888961792;0;0;0;0;0
182,29861111111111;7577,52799987793;0;0;0;0;0
182,30208333333334;7782,641673088074;0;0;0;0;0
182,30555555555554;7986,8380308151245;0;0;0;0;0
182,30902777777777;8190,378427505493;0;0;0;0;0
182,3125;8393,266081809998;0;0;0;0;0
182,31597222222223;8595,320749282837;0;0;0;0;0
182,31944444444446;8796,727180480957;0;0;0;0;0
182,32291666666666;8997,487950325012;0;0;0;0;0
182,32638888888889;9197,604990005493;0;0;0;0;0
182,32986111111111;9397,08023071289;0;0;0;0;0
182,33333333333334;9595,915603637695;0;0;0;0;0
182,33680555555554;9794,113039970398;0;0;0;0;0
182,34027777777777;9991,675758361816;0;0;0;0;0
182,34375;10188,455700874329;0;0;0;0;0
182,34722222222223;10384,517884254456;0;0;0;0;0
182,35069444444446;10579,951786994934;0;0;0;0;0
182,35416666666666;10774,758696556091;0;0;0;0;0
182,35763888888889;10968,880033493042;0;0;0;0;0
182,36111111111111;11162,378883361816;0;0;0;0;0
182,36458333333334;11355,257177352905;0;0;0;0;0
182,36805555555554;11547,516202926636;0;0;0;0;0
182,37152777777777;11739,15982246399;0;0;0;0;0
182,375;11930,188035964966;0;0;0;0;0
182,37847222222223;12120,604705810547;0;0;0;0;0
182,38194444444446;12325,289011001587;0;0;0;0;0
182,38541666666666;12529,144191741943;0;0;0;0;0
182,38888888888889;12732,21402168274;0;0;0;0;0
182,39236111111111;12934,633684158325;0;0;0;0;0
182,39583333333334;13136,404466629028;0;0;0;0;0
182,39930555555554;13337,436246871948;0;0;0;0;0
182,40277777777777;13537,824296951294;0;0;0;0;0
182,40625;13737,568616867065;0;0;0;0;0
182,40972222222223;13936,673069000244;0;0;0;0;0
182,41319444444446;14135,13765335083;0;0;0;0;0
182,41666666666666;14332,967519760132;0;0;0;0;0
182,42013888888889;14530,16266822815;0;0;0;0;0
182,42361111111111;14756,482744216919;0;0;0;0;0
182,42708333333334;14982,325172424316;0;0;0;0;0
182,43055555555554;15207,529020309448;0;0;0;0;0
182,43402777777777;15432,011890411377;0;0;0;0;0
182,4375;15655,77507019043;0;0;0;0;0
182,44097222222223;15878,881645202637;0;0;0;0;0
182,44444444444446;16101,27239227295;0;0;0;0;0
182,44791666666666;16322,949886322021;0;0;0;0;0
182,45138888888889;16543,916702270508;0;0;0;0;0
182,45486111111111;16764,175415039062;0;0;0;0;0
182,45833333333334;16983,727312088013;0;0;0;0;0
182,46180555555554;17202,574968338013;0;0;0;0;0
182,46527777777777;17450,479316711426;0;0;0;0;0
182,46875;17698,35534095764;0;0;0;0;0
182,47222222222223;17945,827102661133;0;0;0;0;0
182,47569444444446;18192,507076263428;0;0;0;0;0
182,47916666666666;18438,395261764526;0;0;0;0;0
182,48263888888889;18683,768463134766;0;0;0;0;0
182,48611111111111;18928,355026245117;0;0;0;0;0
182,48958333333334;19172,158813476562;0;0;0;0;0
182,49305555555554;19415,1798248291;0;0;0;0;0
182,49652777777777;19657,421922683716;0;0;0;0;0
182,5;19898,886394500732;0;0;0;0;0
182,50347222222223;20139,57839012146;0;0;0;0;0
182,50694444444446;20409,25498008728;0;0;0;0;0
182,51041666666666;20678,983068466187;0;0;0;0;0
182,51388888888889;20946,26111984253;0;0;0;0;0
182,51736111111111;21194,264602661133;0;0;0;0;0
182,52083333333334;21441,532945632935;0;0;0;0;0
182,52430555555554;21688,376426696777;0;0;0;0;0
182,52777777777777;21934,49249267578;0;0;0;0;0
182,53125;22179,877281188965;0;0;0;0;0
182,53472222222223;22424,535942077637;0;0;0;0;0
182,53819444444446;22668,47105026245;0;0;0;0;0
182,54166666666666;22911,68260574341;0;0;0;0;0
182,54513888888889;23154,173183441162;0;0;0;0;0
182,54861111111111;23368,458080291748;0;0;0;0;0
182,55208333333334;23581,6743850708;0;0;0;0;0
182,55555555555554;23794,058990478516;0;0;0;0;0
182,55902777777777;24005,812740325928;0;0;0;0;0
182,5625;24216,940784454346;0;0;0;0;0
182,56597222222223;24427,301502227783;0;0;0;0;0
182,56944444444446;24637,041664123535;0;0;0;0;0
182,57291666666666;24846,156120300293;0;0;0;0;0
182,57638888888889;25054,655170440674;0;0;0;0;0
182,57986111111111;25262,53366470337;0;0;0;0;0
182,58333333333334;25469,79932785034;0;0;0;0;0
182,58680555555554;25676,449584960938;0;0;0;0;0
182,59027777777777;25827,512454986572;0;0;0;0;0
182,59375;25977,326488494873;0;0;0;0;0
182,59722222222223;26126,337146759033;0;0;0;0;0
182,60069444444446;26274,904918670654;0;0;0;0;0
182,60416666666666;26423,03237915039;0;0;0;0;0
182,60763888888889;26570,469760894775;0;0;0;0;0
182,61111111111111;26717,46940612793;0;0;0;0;0
182,61458333333334;26864,031314849854;0;0;0;0;0
182,61805555555554;27010,160636901855;0;0;0;0;0
182,62152777777777;27155,857372283936;0;0;0;0;0
182,625;27301,124095916748;0;0;0;0;0
182,62847222222223;27445,95823287964;0;0;0;0;0
182,63194444444446;27562,877655029297;0;0;0;0;0
182,63541666666666;27678,808307647705;0;0;0;0;0
182,63888888888889;27794,074630737305;0;0;0;0;0
182,64236111111111;27909,001064300537;0;0;0;0;0
182,64583333333334;28023,585033416748;0;0;0;0;0
182,64930555555554;28137,607669830322;0;0;0;0;0
182,65277777777777;28251,29041671753;0;0;0;0;0
182,65625;28364,635848999023;0;0;0;0;0
182,65972222222223;28477,64654159546;0;0;0;0;0
182,66319444444446;28590,31991958618;0;0;0;0;0
182,66666666666666;28702,663707733154;0;0;0;0;0
182,67013888888889;28814,67275619507;0;0;0;0;0
182,67361111111111;28912,60471343994;0;0;0;0;0
182,67708333333334;29010,13240814209;0;0;0;0;0
182,68055555555554;29107,333087921143;0;0;0;0;0
182,68402777777777;29204,245376586914;0;0;0;0;0
182,6875;29300,869274139404;0;0;0;0;0
182,69097222222223;29397,181606292725;0;0;0;0;0
182,69444444444446;29493,205547332764;0;0;0;0;0
182,69791666666666;29588,94624710083;0;0;0;0;0
182,70138888888889;29684,403705596924;0;0;0;0;0
182,70486111111111;29779,577922821045;0;0;0;0;0
182,70833333333334;29874,468898773193;0;0;0;0;0
182,71180555555554;29969,081783294678;0;0;0;0;0
182,71527777777777;30063,41142654419;0;0;0;0;0
182,71875;30157,874965667725;0;0;0;0;0
182,72222222222223;30252,299880981445;0;0;0;0;0
182,72569444444446;30346,444129943848;0;0;0;0;0
182,72916666666666;30440,310287475586;0;0;0;0;0
182,73263888888889;30534,06572341919;0;0;0;0;0
182,73611111111111;30627,545642852783;0;0;0;0;0
