;H2O_sew;NH4_sew;PO4_sew;COD_sol;X_TSS_sew;COD_part;FD;Q_out
104,00347222222223;-36545099544,52515;-1624064,211905016;-262064,90692103663;-7603573,35573712;-7418655,153391499;-13336768,530436914;0,117779781905325;36545,09954452515
104,00694444444444;-54722955322,265625;-2431888,048309046;-392418,29870441416;-11385657,680719623;-11108759,536605228;-19970594,60733356;0,1440590503110596;54722,955322265625
104,01041666666667;-60384912300,10986;-2683505,5646559955;-433020,2161149447;-12563685,143616708;-12258137,480314292;-22036870,404265504;0,1580040557395269;60384,91230010986
104,01388888888889;-54022504806,518555;-2400760,1132985847;-387395,3819186353;-11239922,348625192;-10966568,47433872;-19714972,90160184;0,1679417319172947;54022,504806518555
104,01736111111111;-43869747161,865234;-1949571,5513627704;-314589,9548789925;-9127539,5359257;-8905558,616711125;-16009825,426515063;0,1755482020732726;43869,747161865234
104,02083333333333;-34494247341,156006;-1532924,312125685;-247358,2412748264;-7176872,915861161;-7002332,02883695;-12588330,298540672;0,1835916709497819;34494,247341156006
104,02430555555556;-31811151695,251465;-1413687,6384169008;-228117,7780172726;-6618628,4889518535;-6457664,054874682;-11609162,168403774;0,1913740355805919;31811,151695251465
104,02777777777777;-30703299808,502197;-1364454,6321408283;-220173,36109545187;-6388128,505022971;-6232769,809284164;-11204862,138917057;0,198782920517003;30703,299808502197
104,03125;-30523714542,388916;-1356473,882525576;-218885,55831662705;-6350764,086369743;-6196314,089844553;-11139324,452945178;0,205881483839934;30523,714542388916
104,03472222222223;-30793089866,638184;-1368444,865879972;-220817,2397215409;-6406810,053892597;-6250997,024609233;-11237629,823452678;0,2126352115276175;30793,089866638184
104,03819444444444;-31202355480,19409;-1386632,7141870994;-223752,0970620092;-6491962,252785057;-6334078,329882565;-11386987,90988839;0,2196516899576361;31202,35548019409
104,04166666666667;-31658670043,945312;-1337262,234221468;-215785,4968857369;-6260818,642036873;-6298175,873011811;-11516791,08818858;0,2262687398345669;31658,670043945312
104,04513888888889;-32501737689,971924;-1372873,3580397635;-221531,8373200528;-6427543,449004347;-6465895,498305648;-11823481,775277112;0,2331005170633469;32501,737689971924
104,04861111111111;-34725225448,6084;-1466793,5551758276;-236687,14185791765;-6867260,73559592;-6908236,502525548;-12632342,791237276;0,2400698605798997;34725,2254486084
104,05208333333333;-40125271797,180176;-1694891,4714253386;-273493,85107090697;-7935173,707127723;-7982521,527588942;-14596771,294391803;0,2466675728979344;40125,271797180176
104,05555555555556;-47812542915,34424;-2019601,9018922604;-325890,3068962512;-9455408,904313764;-9511827,70744428;-17393247,629506785;0,2530244665331449;47812,54291534424
104,05902777777777;-58765482902,526855;-2482254,040381686;-400545,5383343175;-11621462,09815062;-11690805,369165072;-21377707,73698034;0,2585098681870383;58765,482902526855
104,0625;-71590462303,16162;-2591765,8310780018;-418216,7591057685;-12134176,3909561;-12206578,940214437;-22320846,923048187;0,2627891802393411;71590,46230316162
104,06597222222223;-104371195220,94727;-2868697,4975999994;-462903,45984;-13430720,1024;-13510858,905599998;-24705842,2272;0,2654325328649966;104371,19522094727
104,06944444444444;-100693961334,22852;-2837632,186013663;-457890,6481976593;-13285277,961791242;-13364548,936684614;-24438301,05653528;0,2671545436108191;100693,96133422852
104,07291666666667;-104371195220,94727;-2868697,4975999994;-462903,45984;-13430720,1024;-13510858,905599998;-24705842,2272;0,2684675438827927;104371,19522094727
104,07638888888889;-104371195220,94727;-2868697,4975999994;-462903,45984;-13430720,1024;-13510858,905599998;-24705842,2272;0,2695080781554649;104371,19522094727
104,07986111111111;-104371195220,94727;-2868697,4975999994;-462903,45984;-13430720,1024;-13510858,905599998;-24705842,2272;0,2703426402910762;104371,19522094727
104,08333333333333;-104371195220,94727;-2692198,5024;-434422,94016;-12604383,8976;-12685097,7792;-23201335,4496;0,2711206761110358;104371,19522094727
104,08680555555556;-104371195220,94727;-2692198,5024;-434422,94016;-12604383,8976;-12685097,7792;-23201335,4496;0,2718776549113837;104371,19522094727
104,09027777777777;-104371195220,94727;-2692198,5024;-434422,94016;-12604383,8976;-12685097,7792;-23201335,4496;0,2726107262392102;104371,19522094727
104,09375;-104371195220,94727;-2692198,5024;-434422,94016;-12604383,8976;-12685097,7792;-23201335,4496;0,2733418945581439;104371,19522094727
104,09722222222223;-104371195220,94727;-2692198,5024;-434422,94016;-12604383,8976;-12685097,7792;-23201335,4496;0,2740415513350343;104371,19522094727
104,10069444444444;-104371195220,94727;-2692198,5024;-434422,94016;-12604383,8976;-12685097,7792;-23201335,4496;0,2747065158211612;104371,19522094727
104,10416666666667;-104371195220,94727;-2692198,5024;-434422,94016;-12604383,8976;-12685097,7792;-23201335,4496;0,2752703141076146;104371,19522094727
104,10763888888889;-104371195220,94727;-2692198,5024;-434422,94016;-12604383,8976;-12685097,7792;-23201335,4496;0,2756338457553536;104371,19522094727
104,11111111111111;-104371195220,94727;-2692198,5024;-434422,94016;-12604383,8976;-12685097,7792;-23201335,4496;0,2757322322180321;104371,19522094727
104,11458333333333;-104371195220,94727;-2692198,5024;-434422,94016;-12604383,8976;-12685097,7792;-23201335,4496;0,2754856148004099;104371,19522094727
104,11805555555556;-104371195220,94727;-2692198,5024;-434422,94016;-12604383,8976;-12685097,7792;-23201335,4496;0,2748269503269598;104371,19522094727
104,12152777777777;-104371195220,94727;-2692198,5024;-434422,94016;-12604383,8976;-12685097,7792;-23201335,4496;0,273651151681223;104371,19522094727
