;H2O_sew;NH4_sew;PO4_sew;COD_sol;X_TSS_sew;COD_part;H2O_sew2
181,15972222222223;-103808822250,36621;-4369841,046886005;-705133,4416566057;-20458801,26496631;-19956078,42080744;-35870425,01642612;103808824964,91312
181,16319444444446;-101769536590,57617;-4284963,590278911;-691437,306613188;-20061420,445396725;-19541044,874006245;-35096307,20389184;101769535569,73389
181,16666666666666;-99430653762,81738;-4187362,1610332974;-675687,9850758277;-19631124,8556731;-19064434,768782504;-34169501,78706891;99430654657,82848
181,17013888888889;-96743147277,83203;-4074976,1711394936;-657552,9730702366;-19128387,066731643;-18524212,117885448;-33137008,062494665;96743151212,10825
181,17361111111111;-93855888748,16895;-3954079,328277757;-638044,6188811838;-18582754,618255768;-17948780,304252006;-32049374,08727744;93855891451,58968
181,17708333333334;-90872729873,65723;-3829052,503209572;-617869,8357451813;-18014988,27384953;-17357821,83674206;-30941285,388913102;90872727329,86848
181,18055555555554;-87855324554,44336;-3702500,6905474407;-597448,97506561;-17437541,398027394;-16762912,36916671;-29832848,9318636;87855327648,03763
181,18402777777777;-84858034515,38086;-3576720,517044578;-577152,6288867391;-16861426,492295668;-16174217,902040534;-28741632,30657675;84858035119,70738
181,1875;-81935659217,83447;-3454028,999602974;-557354,6794813892;-16297774,204881355;-15601970,608006164;-27685261,7030672;81935659024,35765
181,19097222222223;-79075581550,59814;-3333900,98502598;-537970,3862201017;-15744310,367492938;-15043557,488233868;-26658554,05899658;79075582739,09851
181,19444444444446;-76290089035,03418;-3216860,093866457;-519084,24241936055;-15203682,557579275;-14501134,660356443;-25664861,039120216;76290089383,38458
181,19791666666666;-73583445739,7461;-3103091,9012180846;-500726,1931511003;-14676940,167213174;-13975334,97155841;-24704839,683913507;73583445480,90991
181,20138888888889;-70896253395,08057;-2990096,565010923;-482492,8548085811;-14152408,79127746;-13454723,447155686;-23757874,34494961;70896255867,95827
181,20486111111111;-68400686645,50781;-2885140,0044689216;-465556,68253930367;-13664619,395476444;-12971828,690573256;-22881024,18783272;68400688254,76231
181,20833333333334;-66050597763,06152;-2790214,7189689944;-450239,1932881789;-13232173,718668235;-12522191,89196474;-22034926,026934307;66050596612,30016
181,21180555555554;-63808568000,79346;-2699318,113574293;-435571,7865085794;-12816649,01984688;-12093546,865674729;-21232531,268553425;63808567656,374695
181,21527777777777;-61668283653,25928;-2612232,31798154;-421519,3058561123;-12417211,749410102;-11684649,709545182;-20471032,719211597;61668283540,81433
181,21875;-59620562553,40576;-2528620,0544629265;-408027,3269701543;-12032468,87919777;-11293711,579202438;-19746643,22957105;59620560301,00933
181,22222222222223;-57664287185,668945;-2448507,006970849;-395099,9943066599;-11662837,924584305;-10920453,606079046;-19057956,310303405;57664287392,37135
181,22569444444446;-55797876548,76709;-2371852,5541484463;-382730,7530557722;-11308233,888262091;-10564550,015396768;-18404065,35226184;55797877645,90872
181,22916666666666;-54014532852,17285;-2298421,954591179;-370881,7244908495;-10967757,022220088;-10224662,78253286;-17781954,769507244;54014533580,42844
181,23263888888889;-52311840820,3125;-2228159,3621516656;-359543,8970744736;-10641330,11499369;-9900291,196156235;-17190162,415898316;52311842775,91164
181,23611111111111;-50687786865,234375;-2160997,352295695;-348706,39093862363;-10328706,197432555;-9591035,65651176;-16627759,735709667;50687786172,35007
181,23958333333334;-49134929466,24756;-2096638,397236364;-338321,1959176861;-10028541,38288191;-9295471,46488966;-16092031,950284544;49134930705,85866
181,24305555555554;-47650482559,2041;-2034992,1903663715;-328373,739809119;-9740520,320682373;-9013042,838317445;-15581651,38708689;47650482411,64671
181,24652777777777;-46231809425,354004;-1975962,5308500084;-318848,49929625145;-9464247,653074596;-8743236,921116734;-15095527,115636038;46231810311,52303
181,25;-44875088882,44629;-1924328,71065978;-310516,6783110101;-9160521,700566905;-8481472,08452745;-14653100,552299837;44875089659,89769
181,25347222222223;-43583225440,979004;-1874722,8464802003;-302512,09568203246;-8873117,278694618;-8232580,601230051;-14231785,166822515;43583228001,45421
181,25694444444446;-42360426521,30127;-1827407,7998132044;-294877,1676971308;-8602553,612352636;-7997288,96542583;-13832960,12093374;42360426391,83885
181,26041666666666;-41213332843,78052;-1782399,1759392696;-287614,41248110944;-8348486,063786429;-7776805,870526092;-13460263,127911922;41213334098,858025
181,26388888888889;-40149367904,663086;-1739791,614851389;-280739,10148738336;-8110889,552124527;-7572481,253140908;-13117400,4323227;40149369131,96725
