#.t	.in_39
#d	mm
17.0000000	0.0000000
17.0416667	0.0000000
17.0833333	0.0000000
17.1250000	0.0000000
17.1666667	0.0000000
17.2083333	0.0000000
17.2500000	0.0000000
17.2916667	0.0000000
17.3333333	0.0000000
17.3750000	0.0000000
17.4166667	0.0000000
17.4583333	0.0000000
17.5000000	0.0000000
17.5416667	0.5926100
17.5833333	0.0182600
17.6250000	0.0000000
17.6666667	0.0000000
17.7083333	0.0000000
17.7500000	0.0000000
17.7916667	0.0000000
17.8333333	0.0000000
17.8750000	0.0000000
17.9166667	0.0000000
17.9583333	0.0013000
18.0000000	0.2608700
18.0416667	0.0021700
18.0833333	0.0000000
18.1250000	0.0000000
18.1666667	0.0000000
18.2083333	0.0247800
18.2500000	0.2265100
18.2916667	0.0000000
18.3333333	0.0000000
18.3750000	0.0000000
18.4166667	0.0000000
18.4583333	0.0000000
18.5000000	0.0000000
18.5416667	0.0000000
18.5833333	0.0000000
18.6250000	0.0000000
18.6666667	0.0000000
18.7083333	0.0000000
18.7500000	0.0000000
18.7916667	0.0000000
18.8333333	0.0000000
18.8750000	0.0000000
18.9166667	0.0000000
18.9583333	0.0000000
19.0000000	0.0000000
19.0416667	0.0000000
19.0833333	0.0000000
19.1250000	0.0000000
19.1666667	0.0000000
19.2083333	0.0000000
19.2500000	0.0000000
19.2916667	0.0000000
19.3333333	0.0000000
19.3750000	0.0000000
19.4166667	0.0000000
19.4583333	0.0000000
19.5000000	0.0000000
19.5416667	0.0000000
19.5833333	0.0000000
19.6250000	0.0000000
19.6666667	0.0000000
19.7083333	0.0000000
19.7500000	0.0000000
19.7916667	0.0000000
19.8333333	0.0000000
19.8750000	0.0000000
19.9166667	0.0000000
19.9583333	0.0000000
20.0000000	0.0000000
20.0416667	0.0000000
20.0833333	0.0000000
20.1250000	0.0000000
20.1666667	0.0000000
20.2083333	0.0000000
20.2500000	0.0082600
20.2916667	0.0243500
20.3333333	0.0000000
20.3750000	0.0000000
20.4166667	0.0000000
20.4583333	0.0000000
20.5000000	0.0000000
20.5416667	0.0000000
20.5833333	0.0000000
20.6250000	0.0000000
20.6666667	0.0000000
20.7083333	0.0000000
20.7500000	0.0000000
20.7916667	0.0000000
20.8333333	0.0000000
20.8750000	0.0991300
20.9166667	0.0186800
20.9583333	0.0121700
21.0000000	0.0017400
21.0416667	0.0452300
21.0833333	0.4995600
21.1250000	0.1521800
21.1666667	0.0000000
21.2083333	0.1891200
21.2500000	0.0982600
21.2916667	0.4939200
21.3333333	0.6982800
21.3750000	2.0482700
21.4166667	2.4017500
21.4583333	0.0817300
21.5000000	0.0000000
21.5416667	0.0000000
21.5833333	0.0000000
21.6250000	0.0000000
21.6666667	0.0000000
21.7083333	0.0000000
21.7500000	0.0000000
21.7916667	0.0000000
21.8333333	0.0000000
21.8750000	0.0000000
21.9166667	0.0008700
21.9583333	0.0000000
22.0000000	0.0000000
22.0416667	0.0000000
22.0833333	0.0000000
22.1250000	0.0000000
22.1666667	0.0000000
22.2083333	0.0000000
22.2500000	0.0000000
22.2916667	0.0000000
22.3333333	0.0000000
22.3750000	0.0000000
22.4166667	0.0000000
22.4583333	0.0000000
22.5000000	0.0000000
22.5416667	0.1073900
22.5833333	0.3182700
22.6250000	1.3265300
22.6666667	1.0695600
22.7083333	1.6526000
22.7500000	0.0239100
22.7916667	0.2978200
22.8333333	0.0000000
22.8750000	0.0000000
22.9166667	0.0000000
22.9583333	0.0000000
23.0000000	0.0000000
23.0416667	0.0000000
23.0833333	0.0000000
23.1250000	0.0000000
23.1666667	0.0000000
23.2083333	0.0000000
